,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
116374,Ajna Evelin Ksely,14.0,165.0,54.0,HUN,2016,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,no medal,1,1
116375,Ajna Evelin Ksely,14.0,165.0,54.0,HUN,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,no medal,1,1
116512,Ket Sivan,23.0,159.0,50.0,CAM,2004,Athina,Swimming,Swimming Women's 50 metres Freestyle,no medal,1,1
116705,Tetiana Valentynivna Khala,21.0,176.0,62.0,UKR,2008,Beijing,Swimming,Swimming Women's 200 metres Butterfly,no medal,1,1
116709,Nancy Khalaf,14.0,164.0,56.0,LIB,1988,Seoul,Swimming,Swimming Women's 50 metres Freestyle,no medal,1,1
116710,Nancy Khalaf,14.0,164.0,56.0,LIB,1988,Seoul,Swimming,Swimming Women's 100 metres Freestyle,no medal,1,1
116869,Kiran Khan,18.0,171.0,64.0,PAK,2008,Beijing,Swimming,Swimming Women's 50 metres Freestyle,no medal,1,1
117112,Yuliya Petrovna Khitraya,22.0,180.0,66.0,BLR,2012,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,2,1
117113,Yuliya Petrovna Khitraya,26.0,180.0,66.0,BLR,2016,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,no medal,2,2
117128,Hanna Khlistunova,20.0,182.0,61.0,UKR,2008,Beijing,Swimming,Swimming Women's 100 metres Breaststroke,no medal,1,1
117200,Svetlana Anatolyevna Khokhlova,19.0,176.0,56.0,BLR,2004,Athina,Swimming,Swimming Women's 50 metres Freestyle,no medal,3,1
117201,Svetlana Anatolyevna Khokhlova,19.0,176.0,56.0,BLR,2004,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,3,1
117202,Svetlana Anatolyevna Khokhlova,19.0,176.0,56.0,BLR,2004,Athina,Swimming,Swimming Women's 100 metres Backstroke,no medal,3,1
117203,Svetlana Anatolyevna Khokhlova,23.0,176.0,56.0,BLR,2008,Beijing,Swimming,Swimming Women's 50 metres Freestyle,no medal,3,2
117204,Svetlana Anatolyevna Khokhlova,27.0,176.0,56.0,BLR,2012,London,Swimming,Swimming Women's 50 metres Freestyle,no medal,3,3
117205,Svetlana Anatolyevna Khokhlova,27.0,176.0,56.0,BLR,2012,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,3,3
117236,Khoo Cai Lin,19.0,166.0,54.0,MAS,2008,Beijing,Swimming,Swimming Women's 400 metres Freestyle,no medal,2,1
117237,Khoo Cai Lin,19.0,166.0,54.0,MAS,2008,Beijing,Swimming,Swimming Women's 800 metres Freestyle,no medal,2,1
117238,Khoo Cai Lin,23.0,166.0,54.0,MAS,2012,London,Swimming,Swimming Women's 800 metres Freestyle,no medal,2,2
117465,Natasha Khristova,18.0,165.0,60.0,BUL,1988,Seoul,Swimming,Swimming Women's 100 metres Freestyle,no medal,1,1
117466,Natasha Khristova,18.0,165.0,60.0,BUL,1988,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,no medal,1,1
117546,Nataliya Khudiakova,23.0,174.0,64.0,UKR,2008,Beijing,Swimming,Swimming Women's 200 metres Freestyle,no medal,1,1
117547,Nataliya Khudiakova,23.0,174.0,64.0,UKR,2008,Beijing,Swimming,Swimming Women's 400 metres Freestyle,no medal,1,1
117548,Nataliya Khudiakova,23.0,174.0,64.0,UKR,2008,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,1,1
117638,Yekaterina Kibalo,18.0,170.0,61.0,RUS,2000,Sydney,Swimming,Swimming Women's 50 metres Freestyle,no medal,1,1
117639,Yekaterina Kibalo,18.0,170.0,61.0,RUS,2000,Sydney,Swimming,Swimming Women's 100 metres Freestyle,no medal,1,1
117640,Yekaterina Kibalo,18.0,170.0,61.0,RUS,2000,Sydney,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,1,1
117693,Yumi Kida,27.0,160.0,55.0,JPN,2012,London,Swimming,Swimming Women's 10 kilometres Open Water,no medal,2,1
117694,Yumi Kida,31.0,160.0,55.0,JPN,2016,Rio de Janeiro,Swimming,Swimming Women's 10 kilometres Open Water,no medal,2,2
117790,Kerstin Kielga,22.0,179.0,62.0,GER,1992,Barcelona,Swimming,Swimming Women's 200 metres Freestyle,Bronze,3,1
117791,Kerstin Kielga,22.0,179.0,62.0,GER,1992,Barcelona,Swimming,Swimming Women's 400 metres Freestyle,no medal,3,1
117792,Kerstin Kielga,22.0,179.0,62.0,GER,1992,Barcelona,Swimming,Swimming Women's 800 metres Freestyle,no medal,3,1
117793,Kerstin Kielga,22.0,179.0,62.0,GER,1992,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,3,1
117794,Kerstin Kielga,26.0,179.0,62.0,GER,1996,Atlanta,Swimming,Swimming Women's 400 metres Freestyle,no medal,3,2
117795,Kerstin Kielga,26.0,179.0,62.0,GER,1996,Atlanta,Swimming,Swimming Women's 800 metres Freestyle,no medal,3,2
117796,Kerstin Kielga,26.0,179.0,62.0,GER,1996,Atlanta,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,3,2
117797,Kerstin Kielga,30.0,179.0,62.0,GER,2000,Sydney,Swimming,Swimming Women's 200 metres Freestyle,no medal,3,3
117798,Kerstin Kielga,30.0,179.0,62.0,GER,2000,Sydney,Swimming,Swimming Women's 400 metres Freestyle,no medal,3,3
117799,Kerstin Kielga,30.0,179.0,62.0,GER,2000,Sydney,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,3,3
