,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
239723,Vera Julia Thulin (-Mirsky),18.0,171.32436260623228,61.75478645066274,SWE,1912,Stockholm,no medal,1,1
239844,gsta orsteinsdttir,18.0,171.32436260623228,61.75478645066274,ISL,1960,Roma,no medal,1,1
240340,Clelia Tini,20.0,165.0,57.0,SMR,2012,London,no medal,1,1
240819,Yekaterina Tochenaya,19.0,179.0,65.0,KGZ,2000,Sydney,no medal,1,1
241560,Orsolya Tompa,17.0,170.0,57.0,HUN,2008,Beijing,no medal,1,1
241785,Hjrdis Viktoria Tpel,20.0,171.32436260623228,61.75478645066274,SWE,1924,Paris,no medal,2,1
242075,"Dara Grace Torres (-Hoffman, -Minas)",21.0,183.0,68.0,USA,1988,Seoul,no medal,5,2
242080,"Dara Grace Torres (-Hoffman, -Minas)",33.0,183.0,68.0,USA,2000,Sydney,Bronze,5,4
242192,Karen Milenka Torrez Guzman,19.0,165.0,58.0,BOL,2012,London,no medal,2,1
243128,Gillian S. Treers,16.0,159.0,57.0,GBR,1968,Mexico City,no medal,1,1
243978,Tsai Shu-Min,17.0,167.0,48.0,TPE,1996,Atlanta,no medal,2,1
243984,Tsai Shu-Min,21.0,167.0,48.0,TPE,2000,Sydney,no medal,2,2
244166,Jovina Tseng,14.0,158.0,53.0,MAS,1964,Tokyo,no medal,1,1
245245,Judit Turczy (-Korach),16.0,162.0,55.0,HUN,1964,Tokyo,no medal,3,1
245247,Judit Turczy (-Korach),20.0,162.0,55.0,HUN,1968,Mexico City,no medal,3,2
245251,Judit Turczy (-Korach),24.0,162.0,55.0,HUN,1972,Munich,no medal,3,3
245707,Miki Uchida,21.0,173.0,62.0,JPN,2016,Rio de Janeiro,no medal,2,2
245837,Reshika Udugampola,18.0,160.0,54.0,SRI,2012,London,no medal,1,1
245851,Haruka Ueda,24.0,177.0,68.0,JPN,2012,London,no medal,2,2
245965,Maria Ugolkova,27.0,173.0,65.0,SUI,2016,Rio de Janeiro,no medal,1,1
246040,Gabrijela Uji (-Vukovi),19.0,171.32436260623228,61.75478645066274,CRO,1996,Atlanta,no medal,1,1
246442,Ryoko Urakami,17.0,158.0,48.0,JPN,1964,Tokyo,no medal,1,1
246593,Diana Ctlina Ureche,17.0,171.32436260623228,61.75478645066274,ROU,1992,Barcelona,no medal,1,1
247725,Monica Vallarin,15.0,170.0,60.0,ITA,1980,Moskva,no medal,1,1
247783,Gisle Vallerey (-Mamelonet),18.0,171.32436260623228,61.75478645066274,FRA,1948,London,no medal,1,1
247933,Franziska van Almsick,14.0,181.0,66.0,GER,1992,Barcelona,Bronze,4,1
247938,Franziska van Almsick,18.0,181.0,66.0,GER,1996,Atlanta,no medal,4,2
247949,Franziska van Almsick,26.0,181.0,66.0,GER,2004,Athina,no medal,4,4
248055,"Cornelia ""Conny"" van Bentum",14.0,181.0,76.0,NED,1980,Moskva,no medal,3,1
248057,"Cornelia ""Conny"" van Bentum",18.0,181.0,76.0,NED,1984,Los Angeles,no medal,3,2
248062,"Cornelia ""Conny"" van Bentum",23.0,181.0,76.0,NED,1988,Seoul,no medal,3,3
248722,Germaine Van Dievoet (-Dessecker),20.0,171.32436260623228,61.75478645066274,BEL,1920,Antwerpen,no medal,1,1
248807,Amy Deloris Van Dyken (-Rouen),23.0,183.0,74.0,USA,1996,Atlanta,no medal,2,1
248830,"Cornelia Maria ""Cocki"" van Engelsdorp Gastelaars (-Garretsen)",22.0,170.0,67.0,NED,1960,Roma,no medal,1,1
249004,Mirjam van Hemert,18.0,170.0,65.0,NED,1968,Mexico City,no medal,1,1
249022,"Willemina Cornelia Adriana ""Wilma"" van Hofwegen-van Rijn",29.0,184.0,73.0,NED,2000,Sydney,no medal,2,2
249149,Chantal Jean Van Landeghem,22.0,180.0,77.0,CAN,2016,Rio de Janeiro,no medal,1,1
249154,Britany van Lange,15.0,180.0,68.0,GUY,2012,London,no medal,1,1
249595,Koosje van Voorn (-ten Thije),17.0,171.32436260623228,61.75478645066274,NED,1952,Helsinki,no medal,1,1
249621,"Wilhelmina ""Winnie"" van Weerdenburg (-Rijke)",18.0,168.0,61.0,NED,1964,Tokyo,no medal,1,1
249640,Karen Tracey Van Wirdum (-Dunne),17.0,160.0,52.0,AUS,1988,Seoul,no medal,3,1
249643,Karen Tracey Van Wirdum (-Dunne),21.0,160.0,52.0,AUS,1992,Barcelona,no medal,3,2
249806,Arianna Fritzallen Vanderpool-Wallace,18.0,168.0,61.0,BAH,2008,Beijing,no medal,3,1
249808,Arianna Fritzallen Vanderpool-Wallace,22.0,168.0,61.0,BAH,2012,London,no medal,3,2
249810,Arianna Fritzallen Vanderpool-Wallace,26.0,168.0,61.0,BAH,2016,Rio de Janeiro,no medal,3,3
250596,"Susanne ""Susy"" Vaterlaus",19.0,171.32436260623228,61.75478645066274,SUI,1952,Helsinki,no medal,1,1
251046,"Magdalena Johanna Maria ""Marleen"" Veldhuis",25.0,182.0,67.0,NED,2004,Athina,no medal,3,1
251051,"Magdalena Johanna Maria ""Marleen"" Veldhuis",29.0,182.0,67.0,NED,2008,Beijing,no medal,3,2
251260,Scylla Venncio,19.0,171.32436260623228,61.75478645066274,BRA,1936,Berlin,no medal,1,1
251442,Carine Verbauwen,18.0,166.0,57.0,BEL,1980,Moskva,no medal,2,2
251501,Sybille Verckist,17.0,171.32436260623228,61.75478645066274,BEL,1952,Helsinki,no medal,1,1
251893,"Anna Maria Theodora Petra ""Annemarie"" Verstappen (-Janssen)",18.0,180.0,66.0,NED,1984,Los Angeles,Bronze,1,1
252163,Cecilia Vianini,19.0,178.0,66.0,ITA,1996,Atlanta,no medal,3,1
252456,Isabelle Vieira,16.0,171.0,64.0,BRA,1988,Seoul,no medal,1,1
252490,"Maria ""Rie"" Vierdag (-Smit)",18.0,170.0,61.75478645066274,NED,1924,Paris,no medal,3,1
252493,"Maria ""Rie"" Vierdag (-Smit)",22.0,170.0,61.75478645066274,NED,1928,Amsterdam,no medal,3,2
252495,"Maria ""Rie"" Vierdag (-Smit)",26.0,170.0,61.75478645066274,NED,1932,Los Angeles,no medal,3,3
253969,Sandra Vlker,22.0,180.0,75.0,GER,1996,Atlanta,Silver,4,2
253973,Sandra Vlker,26.0,180.0,75.0,GER,2000,Sydney,no medal,4,3
254517,"Susan Christina ""Chris"" von Saltza (-Olmstead)",16.0,178.0,63.0,USA,1960,Roma,Silver,1,1
254823,Odile Vouaux (-Milley),19.292025862068964,171.32436260623228,61.75478645066274,FRA,1956,Melbourne,no medal,1,1
255341,Olive Louise Wadham (Joynes-),27.0,171.32436260623228,61.75478645066274,GBR,1936,Berlin,no medal,1,1
255490,"Catharina Wilhelmina ""Tini"" Wagner (-Boekhorst)",16.0,171.32436260623228,61.75478645066274,NED,1936,Berlin,no medal,1,1
255846,Diane Barclay Walker (-Allan),16.0,172.0,65.0,GBR,1972,Munich,no medal,1,1
256152,Violet Ethel Mary Walrond (-Robb),15.0,165.0,61.75478645066274,NZL,1920,Antwerpen,no medal,1,1
256467,Wang Chi,18.0,160.0,51.0,TPE,1988,Seoul,no medal,1,1
257558,"Lynette Pamela ""Lynne"" Watson (-Bates)",15.0,172.0,60.0,AUS,1968,Mexico City,no medal,1,1
258179,Mariechen M. Wehselau (-Jackson),17.0,171.32436260623228,61.75478645066274,USA,1924,Paris,Silver,1,1
258588,Abbey Weitzeil,19.0,178.0,68.0,USA,2016,Rio de Janeiro,no medal,1,1
258669,Margaret Olive Wellington (-Restorick),21.0,171.32436260623228,61.75478645066274,GBR,1948,London,no medal,1,1
260684,Katarzyna Maria Wilk,20.0,178.0,64.0,POL,2012,London,no medal,3,2
260686,Katarzyna Maria Wilk,24.0,178.0,64.0,POL,2016,Rio de Janeiro,no medal,3,3
260762,Diana Elizabeth Wilkinson (-Bishop),16.0,165.0,67.0,GBR,1960,Roma,no medal,2,1
260763,Diana Elizabeth Wilkinson (-Bishop),20.0,165.0,67.0,GBR,1964,Tokyo,no medal,2,2
260771,Julia Rose Wilkinson,21.0,178.0,70.0,CAN,2008,Beijing,no medal,2,1
260777,Julia Rose Wilkinson,25.0,178.0,70.0,CAN,2012,London,no medal,2,2
261270,Jacquelene Willmott,15.0,168.0,55.0,GBR,1980,Moskva,no medal,1,1
261464,Hannah Jane Arnett Wilson,15.0,174.0,65.0,HKG,2004,Athina,no medal,3,1
261465,Hannah Jane Arnett Wilson,19.0,174.0,65.0,HKG,2008,Beijing,no medal,3,2
261467,Hannah Jane Arnett Wilson,23.0,174.0,65.0,HKG,2012,London,no medal,3,3
262672,"Kathryn Florence ""Kathy"" Wong",16.0,166.0,54.0,HKG,1984,Los Angeles,no medal,1,1
262691,Ratiporn Wong,20.0,160.0,51.0,THA,1992,Barcelona,no medal,1,1
262732,Carolyn Virginia Wood,14.0,167.0,60.0,USA,1960,Roma,no medal,1,1
263215,"Judith ""Judy"" Wright (-McMurchy)",16.0,171.0,61.0,CAN,1972,Munich,no medal,1,1
263572,"Suzanne Wurtz (-Bert, -Voyez, -Lone)",19.0,171.32436260623228,61.75478645066274,FRA,1920,Antwerpen,no medal,1,1
263665,"Wilhelmina ""Mina"" Wylie",20.0,171.32436260623228,61.75478645066274,ANZ,1912,Stockholm,Silver,1,1
263980,Xu Yanwei,20.0,173.0,70.0,CHN,2004,Athina,no medal,2,1
264517,Sadako Yamashita,19.0,171.32436260623228,61.75478645066274,JPN,1952,Helsinki,no medal,1,1
264573,Sachiko Yamazaki,14.0,152.0,40.0,JPN,1976,Montreal,no medal,1,1
264596,Yan Hong,16.0,170.0,55.0,CHN,1984,Los Angeles,no medal,1,1
264664,Kaori Yanase,16.0,167.0,61.0,JPN,1984,Los Angeles,no medal,1,1
265495,"Wei Ling ""Joscelin"" Yeo",13.0,165.0,56.0,SGP,1992,Barcelona,no medal,4,1
265501,"Wei Ling ""Joscelin"" Yeo",17.0,165.0,56.0,SGP,1996,Atlanta,no medal,4,2
265507,"Wei Ling ""Joscelin"" Yeo",21.0,165.0,56.0,SGP,2000,Sydney,no medal,4,3
265585,Yevgeniya Yermakova,20.0,171.32436260623228,61.75478645066274,KAZ,1996,Atlanta,no medal,2,2
265656,Yeung Sauking,17.0,171.32436260623228,61.75478645066274,CHN,1936,Berlin,no medal,1,1
267251,Berta Zahourek (-Blaha),16.0,171.32436260623228,61.75478645066274,AUT,1912,Stockholm,no medal,1,1
268454,"Dita elvien (Babrauskait-, -Kareckien)",28.0,171.32436260623228,61.75478645066274,LTU,1996,Atlanta,no medal,1,1
269295,Svetlana Zhidko (-Levkevich),16.0,171.32436260623228,61.75478645066274,BLR,1996,Atlanta,no medal,1,1
269490,Zhu Menghui,17.0,177.0,62.0,CHN,2016,Rio de Janeiro,no medal,1,1
269527,Zhu Yingwen,26.0,173.0,67.0,CHN,2008,Beijing,no medal,2,2
269542,Zhuang Yong,16.0,172.0,68.0,CHN,1988,Seoul,Silver,2,1
269547,Zhuang Yong,19.0,172.0,68.0,CHN,1992,Barcelona,Gold,2,2
