,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
187666,"Kimberley Marie ""Kim"" Peyton (-McDonald)",19.0,178.0,64.0,USA,1976,Montreal,no medal,2,2
188353,Caroline Pickering Puamau,16.0,168.0,67.0,FIJ,1996,Atlanta,no medal,2,1
188355,Caroline Pickering Puamau,20.0,168.0,67.0,FIJ,2000,Sydney,no medal,2,2
188359,Karen Denise Pickering,20.0,177.0,64.0,GBR,1992,Barcelona,no medal,4,1
188362,Karen Denise Pickering,24.0,177.0,64.0,GBR,1996,Atlanta,no medal,4,2
188367,Karen Denise Pickering,28.0,177.0,64.0,GBR,2000,Sydney,no medal,4,3
188374,Sharon Tanya Pickering (-Smith),16.0,171.0,71.0,FIJ,1984,Los Angeles,no medal,3,1
188384,Sharon Tanya Pickering (-Smith),24.0,171.0,71.0,FIJ,1992,Barcelona,no medal,3,3
188635,Monique Pitri,19.0,170.0,60.0,FRA,1964,Tokyo,no medal,1,1
189441,Irene Catherine Pirie-Milton,18.0,171.32436260623228,61.75478645066274,CAN,1932,Los Angeles,no medal,2,1
189444,Irene Catherine Pirie-Milton,22.0,171.32436260623228,61.75478645066274,CAN,1936,Berlin,no medal,2,2
189900,Helen Plaschinski Farca,17.0,168.0,55.0,MEX,1980,Moskva,no medal,1,1
190077,Catherine Franoise Marella Plewinski (-Arie),20.0,166.0,58.0,FRA,1988,Seoul,Bronze,2,1
190081,Catherine Franoise Marella Plewinski (-Arie),24.0,166.0,58.0,FRA,1992,Barcelona,no medal,2,2
190301,Laura Magda Serena Podest,18.0,170.0,60.0,ITA,1972,Munich,no medal,1,1
190735,Ivis Poleo,13.0,168.0,54.0,VEN,1976,Montreal,no medal,1,1
190869,Silvia Poll Ahrens,17.0,192.0,75.0,CRC,1988,Seoul,no medal,2,1
191098,Viktoriya Polyayeva,15.0,171.32436260623228,61.75478645066274,KGZ,1996,Atlanta,no medal,1,1
191425,Alena Popchanka (-Vergnoux),21.0,176.0,64.0,BLR,2000,Sydney,no medal,4,2
191426,Alena Popchanka (-Vergnoux),25.0,176.0,64.0,BLR,2004,Athina,no medal,4,3
191429,Alena Popchanka (-Vergnoux),29.0,176.0,64.0,FRA,2008,Beijing,no medal,4,4
191618,Veronika Andreyevna Popova,21.0,182.0,68.0,RUS,2012,London,no medal,2,1
191623,Veronika Andreyevna Popova,25.0,182.0,68.0,RUS,2016,Rio de Janeiro,no medal,2,2
191652,Elena Popovska,18.0,174.0,63.0,MKD,2008,Beijing,no medal,1,1
192837,Lillian Preece (-Parrington),20.0,171.32436260623228,61.75478645066274,GBR,1948,London,no medal,2,1
192839,Lillian Preece (-Parrington),24.0,171.32436260623228,61.75478645066274,GBR,1952,Helsinki,no medal,2,2
193136,Gladys Jean Priestley (-Watson),14.0,171.32436260623228,61.75478645066274,CAN,1952,Helsinki,no medal,2,1
193139,Gladys Jean Priestley (-Watson),18.0,171.32436260623228,61.75478645066274,CAN,1956,Melbourne,no medal,2,2
193709,Mariette Protin,19.292025862068964,171.32436260623228,61.75478645066274,FRA,1924,Paris,no medal,1,1
194218,Natalia Pulido Pulido,22.0,171.32436260623228,61.75478645066274,ESP,1992,Barcelona,no medal,1,1
194220,Rita Pulido Castro,15.0,163.0,53.0,ESP,1960,Roma,no medal,2,1
194221,Rita Pulido Castro,19.0,163.0,53.0,ESP,1964,Tokyo,no medal,2,2
194883,Quah Ting Wen,15.0,175.0,60.0,SGP,2008,Beijing,no medal,2,1
195312,Aina Estellah Rabetsara,18.0,167.0,59.0,MAD,2012,London,no medal,2,1
195313,Aina Estellah Rabetsara,22.0,167.0,59.0,MAD,2016,Rio de Janeiro,no medal,2,2
195410,Duka Radan,18.0,175.0,61.0,SCG,1996,Atlanta,no medal,2,1
195443,Charlotte Helen Radcliffe,16.0,171.32436260623228,61.75478645066274,GBR,1920,Antwerpen,no medal,1,1
195792,Ragnheiur Ragnarsdttir,19.0,186.0,74.0,ISL,2004,Athina,no medal,2,1
195794,Ragnheiur Ragnarsdttir,23.0,186.0,74.0,ISL,2008,Beijing,no medal,2,2
