,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
264379,Kenichi Yamamoto,29.0,170.0,63.0,JPN,1952,Oslo,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,no medal,1,1
264385,Masahiko Yamamoto,19.0,180.0,75.0,JPN,1976,Innsbruck,Speed Skating,"Speed Skating Men's 1,500 metres",no medal,2,1
264386,Masahiko Yamamoto,19.0,180.0,75.0,JPN,1976,Innsbruck,Speed Skating,"Speed Skating Men's 5,000 metres",no medal,2,1
264387,Masahiko Yamamoto,19.0,180.0,75.0,JPN,1976,Innsbruck,Speed Skating,"Speed Skating Men's 10,000 metres",no medal,2,1
264388,Masahiko Yamamoto,23.0,180.0,75.0,JPN,1980,Lake Placid,Speed Skating,"Speed Skating Men's 1,500 metres",no medal,2,2
264389,Masahiko Yamamoto,23.0,180.0,75.0,JPN,1980,Lake Placid,Speed Skating,"Speed Skating Men's 5,000 metres",no medal,2,2
264390,Masahiko Yamamoto,23.0,180.0,75.0,JPN,1980,Lake Placid,Speed Skating,"Speed Skating Men's 10,000 metres",no medal,2,2
264459,Daichi Yamanaka,23.0,177.0,75.0,JPN,2014,Sochi,Speed Skating,"Speed Skating Men's 1,000 metres",no medal,1,1
264464,Takeshi Yamanaka,27.0,178.0,84.0,JPN,1998,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,1,1
264473,Yuji Yamanaka,26.0,164.0,65.0,JPN,1964,Innsbruck,Biathlon,Biathlon Men's 20 kilometres,no medal,1,1
264494,Isao Yamase,29.0,169.0,69.0,JPN,1984,Sarajevo,Biathlon,Biathlon Men's 10 kilometres Sprint,no medal,1,1
264495,Isao Yamase,29.0,169.0,69.0,JPN,1984,Sarajevo,Biathlon,Biathlon Men's 20 kilometres,no medal,1,1
264496,Isao Yamase,29.0,169.0,69.0,JPN,1984,Sarajevo,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,no medal,1,1
264552,Fumio Yamazaki,24.0,165.0,63.0,JPN,1972,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,1,1
264560,Masaharu Yamazaki,19.0,165.0,57.0,JPN,1988,Calgary,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,no medal,1,1
264561,Masaharu Yamazaki,19.0,165.0,57.0,JPN,1988,Calgary,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,no medal,1,1
264562,Masaharu Yamazaki,19.0,165.0,57.0,JPN,1988,Calgary,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,no medal,1,1
264563,Masaharu Yamazaki,19.0,165.0,57.0,JPN,1988,Calgary,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,no medal,1,1
264570,Osamu Yamazaki,27.0,161.0,61.0,JPN,1992,Albertville,Freestyle Skiing,Freestyle Skiing Men's Moguls,no medal,1,1
264571,Ryoji Yamazaki,28.0,185.0,87.0,JPN,1992,Albertville,Bobsleigh,Bobsleigh Men's Two,no medal,1,1
264572,Ryoji Yamazaki,28.0,185.0,87.0,JPN,1992,Albertville,Bobsleigh,Bobsleigh Men's Four,no medal,1,1
264594,Yan Han,17.0,169.0,64.0,CHN,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,1,1
264595,Yan Han,17.0,169.0,64.0,CHN,2014,Sochi,Figure Skating,Figure Skating Mixed Team,no medal,1,1
264746,Yang Duk-Soon,30.0,177.1537376586742,71.12250712250712,PRK,1964,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,no medal,1,1
264756,Yang Guang,21.0,175.0,58.0,CHN,2006,Torino,Ski Jumping,"Ski Jumping Men's Large Hill, Team",no medal,2,2
264771,Yang He,22.0,174.9915254237288,71.02118644067797,CHN,1994,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",no medal,1,1
264944,Yang Yong-Ok,28.0,177.1537376586742,71.12250712250712,KOR,1964,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,no medal,1,1
264945,Yang Yong-Ok,28.0,177.0531914893617,71.12469437652811,KOR,1964,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,no medal,1,1
264999,Radoslav Yankov,24.0,190.0,85.0,BUL,2014,Sochi,Snowboarding,Snowboarding Men's Parallel Giant Slalom,no medal,1,1
265000,Radoslav Yankov,24.0,190.0,85.0,BUL,2014,Sochi,Snowboarding,Snowboarding Men's Parallel Slalom,no medal,1,1
265027,Yao Bin,26.0,177.84100418410043,73.86238532110092,CHN,1984,Sarajevo,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
265055,Dmitry Semyonovich Yaparov,28.0,186.0,86.0,RUS,2014,Sochi,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,no medal,1,1
265056,Dmitry Semyonovich Yaparov,28.0,186.0,86.0,RUS,2014,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver,1,1
265074,"Kenneth ""Ken"" Yaremchuk",24.0,180.0,84.0,CAN,1988,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,1,1
265094,Ihor Mykolayevych Yaroshenko,26.0,180.0,69.0,UKR,1994,Lillehammer,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,1
265095,Ihor Mykolayevych Yaroshenko,30.0,180.0,69.0,UKR,1998,Nagano,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,2
265111,Aleksey Valeryevich Yashin,24.0,191.0,100.0,RUS,1998,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,3,1
265112,Aleksey Valeryevich Yashin,28.0,191.0,100.0,RUS,2002,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,3,2
265113,Aleksey Valeryevich Yashin,32.0,191.0,100.0,RUS,2006,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,3,3
265146,Torin Yater-Wallace,18.0,175.0,70.0,USA,2014,Sochi,Freestyle Skiing,Freestyle Skiing Men's Halfpipe,no medal,1,1
265148,Ernest Henry Charles Yates,21.0,177.84100418410043,73.86238532110092,GBR,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
265149,Geoffrey Sidney Yates,17.0,173.39762611275964,65.59163987138264,GBR,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,1,1
265198,Trent Yawney,22.0,188.0,89.0,CAN,1988,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,1,1
265212,Takeo Yazawa-Hoshina,21.0,169.0,62.0,JPN,1928,Sankt Moritz,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,no medal,2,1
265213,Takeo Yazawa-Hoshina,25.0,169.0,62.0,JPN,1932,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,no medal,2,2
265222,Roman Yazvinskiy,19.0,183.0,72.0,UKR,2006,Torino,Luge,Luge Mixed (Men)'s Doubles,no medal,1,1
265254,"Ronald Paul ""Ronny"" Yeager",19.0,181.0,70.0,USA,1972,Sapporo,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,no medal,2,1
