,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
18388,Stefania Belmondo,29.0,158.0,45.0,ITA,1998,Nagano,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,no medal,5,4
18389,Stefania Belmondo,29.0,158.0,45.0,ITA,1998,Nagano,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Silver,5,4
18390,Stefania Belmondo,29.0,158.0,45.0,ITA,1998,Nagano,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,no medal,5,4
18391,Stefania Belmondo,29.0,158.0,45.0,ITA,1998,Nagano,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze,5,4
18392,Stefania Belmondo,33.0,158.0,45.0,ITA,2002,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Bronze,5,5
18393,Stefania Belmondo,33.0,158.0,45.0,ITA,2002,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,Gold,5,5
18394,Stefania Belmondo,33.0,158.0,45.0,ITA,2002,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Silver,5,5
18395,Stefania Belmondo,33.0,158.0,45.0,ITA,2002,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 5/5 kilometres Pursuit,no medal,5,5
18396,Stefania Belmondo,33.0,158.0,45.0,ITA,2002,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,no medal,5,5
18533,Olena Belusovska,13.0,156.74261603375527,46.94009216589862,UKR,1994,Lillehammer,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
18561,Lyubov Borisovna Belyakova,26.0,160.0,57.0,RUS,1994,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,no medal,1,1
18562,Olga Vladimirovna Belyakova,21.0,175.0,60.0,RUS,2010,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",no medal,2,1
18563,Olga Vladimirovna Belyakova,25.0,175.0,60.0,RUS,2014,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",no medal,2,2
18564,Olga Vladimirovna Belyakova,25.0,175.0,60.0,RUS,2014,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",no medal,2,2
18565,Olga Vladimirovna Belyakova,25.0,175.0,60.0,RUS,2014,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",no medal,2,2
18907,Maja Benedii,24.0,172.0,60.0,SLO,2006,Torino,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,no medal,1,1
18908,Maja Benedii,24.0,172.0,60.0,SLO,2006,Torino,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,no medal,1,1
18909,Maja Benedii,24.0,172.0,60.0,SLO,2006,Torino,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,no medal,1,1
18910,Maja Benedii,24.0,172.0,60.0,SLO,2006,Torino,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,no medal,1,1
19217,Margaret Helen Bennett (-Anthony),21.0,161.31335149863762,51.11940298507463,USA,1932,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,1,1
19250,Denise Benning (-Reid),20.0,154.0,47.0,CAN,1988,Calgary,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
19264,Tessa Benoit,24.0,167.0,54.0,USA,2002,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's Sprint,no medal,1,1
19265,Tessa Benoit,24.0,167.0,54.0,USA,2002,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,no medal,1,1
19321,Nike Lovisa Bent,24.0,164.0,73.0,SWE,2006,Torino,Alpine Skiing,Alpine Skiing Women's Downhill,no medal,1,1
19322,Nike Lovisa Bent,24.0,164.0,73.0,SWE,2006,Torino,Alpine Skiing,Alpine Skiing Women's Super G,no medal,1,1
19323,Nike Lovisa Bent,24.0,164.0,73.0,SWE,2006,Torino,Alpine Skiing,Alpine Skiing Women's Combined,no medal,1,1
