,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
4064,Mario Albertini,21.505691056910567,185.30803571428572,79.37983587338805,ITA,1906,Athina,no medal,1,1
4625,Laurent Paul Alfred,17.0,185.30803571428572,79.37983587338805,ISV,1992,Barcelona,no medal,1,1
4672,Abdurahman Ali,21.0,185.30803571428572,79.37983587338805,PHI,1932,Los Angeles,no medal,1,1
5069,Damian Arthur Christopher Alleyne,21.0,180.0,84.0,BAR,2004,Athina,no medal,2,2
5518,Bernard Aluchna,23.0,180.0,84.0,POL,1960,Roma,no medal,1,1
5534,Jos Amlcar Alvarado,15.0,174.0,64.0,ESA,1968,Mexico City,no medal,1,1
5680,Arturo lvarez Caldern Wells,16.0,185.30803571428572,79.37983587338805,PER,1936,Berlin,no medal,1,1
6045,Orlando Amndola,21.505691056910567,185.30803571428572,79.37983587338805,BRA,1920,Antwerpen,no medal,1,1
6053,Moustafa Amer,21.0,188.0,74.0,EGY,1988,Seoul,no medal,1,1
6866,Ross Woods Anderson,19.0,185.30803571428572,79.37983587338805,NZL,1988,Seoul,no medal,1,1
6964,Klas Erik Andersson,16.0,185.30803571428572,79.37983587338805,SWE,1912,Stockholm,no medal,3,1
7110,Robert Theodor Andersson,19.0,185.30803571428572,79.37983587338805,SWE,1906,Athina,no medal,4,1
7113,Robert Theodor Andersson,21.0,185.30803571428572,79.37983587338805,SWE,1908,London,no medal,4,2
7117,Robert Theodor Andersson,25.0,185.30803571428572,79.37983587338805,SWE,1912,Stockholm,no medal,4,3
7177,Jakob Schitt Andkjr,23.0,201.0,85.0,DEN,2008,Beijing,no medal,1,1
7273,Ren Andr,21.505691056910567,185.30803571428572,79.37983587338805,FRA,1908,London,no medal,1,1
7506,Zo Andrianifaha,14.0,165.0,61.0,MAD,1980,Moskva,no medal,1,1
7599,Andryein Tamir,18.0,181.0,58.0,MGL,2004,Athina,no medal,2,1
7600,Andryein Tamir,26.0,181.0,58.0,MGL,2012,London,no medal,2,2
7659,Ang Peng Siong,21.0,180.0,75.0,SGP,1984,Los Angeles,no medal,2,1
7664,Ang Peng Siong,25.0,180.0,75.0,SGP,1988,Seoul,no medal,2,2
7908,Rami Anis,25.0,178.0,78.0,ROT,2016,Rio de Janeiro,no medal,1,1
7998,Georgios Anninos,21.505691056910567,185.30803571428572,79.37983587338805,GRE,1896,Athina,no medal,1,1
7999,Harold Edward Annison,24.0,183.0,79.37983587338805,GBR,1920,Antwerpen,no medal,2,1
8302,Raychin Antonov,24.0,196.0,82.0,BUL,2004,Athina,no medal,1,1
8669,Dakula Arabani,21.505691056910567,185.30803571428572,79.37983587338805,PHI,1956,Melbourne,no medal,1,1
8713,Shigeo Arai,19.0,185.30803571428572,79.37983587338805,JPN,1936,Berlin,Bronze,1,1
8789,Jos Roberto Diiz Aranha,17.0,191.0,82.0,BRA,1968,Mexico City,no medal,2,1
8791,Jos Roberto Diiz Aranha,21.0,191.0,82.0,BRA,1972,Munich,no medal,2,2
9086,Alexandros Aresti,21.0,188.0,80.0,CYP,2004,Athina,no medal,2,2
9283,Gregory Arkhurst,24.0,182.0,81.0,CIV,2000,Sydney,no medal,2,1
9447,rn Arnarson,26.0,193.0,87.0,ISL,2008,Beijing,no medal,3,3
9559,Jean-Marie Arnould,22.0,186.0,79.37983587338805,BEL,1988,Seoul,no medal,1,1
10148,Sergey Ashikhmin,19.0,197.0,87.0,KGZ,1996,Atlanta,no medal,2,1
10153,Sergey Ashikhmin,23.0,197.0,87.0,KGZ,2000,Sydney,no medal,2,2
10224,Andreas Asimakopoulos,23.0,185.30803571428572,79.37983587338805,GRE,1912,Stockholm,no medal,3,1
10398,M. Astaburuaga,21.505691056910567,185.30803571428572,79.37983587338805,CHI,1928,Amsterdam,no medal,1,1
10703,Ali Gkhan Attarolu,19.0,190.0,82.0,TUR,1984,Los Angeles,no medal,1,1
10785,Rex Aubrey,17.0,185.30803571428572,79.37983587338805,AUS,1952,Helsinki,no medal,1,1
11034,"Michael MacKay ""Mike"" Austin",21.0,185.0,85.0,USA,1964,Tokyo,no medal,1,1
11189,Kevin vila Soto,19.0,190.0,82.0,GUA,2012,London,no medal,1,1
11195,Hernn Avils Morales,22.0,185.30803571428572,79.37983587338805,CHI,1952,Helsinki,no medal,1,1
11363,Feridun Aybars,20.0,190.0,80.0,TUR,1972,Munich,no medal,1,1
11412,"Luis Ayesa, Jr.",18.0,193.0,85.0,PHI,1968,Mexico City,no medal,2,1
11774,"Jack Babashoff, Jr.",21.0,191.0,84.0,USA,1976,Montreal,Silver,1,1
12270,Hamad Bader Jassim,21.505691056910567,171.0,64.0,BRN,1984,Los Angeles,no medal,1,1
12449,Ali Ahmed Mustafa Bagdadi,25.0,185.30803571428572,79.37983587338805,EGY,1948,London,no medal,1,1
12583,Davide Baiardo,20.0,185.30803571428572,79.37983587338805,ITA,1908,London,no medal,2,1
12585,Davide Baiardo,24.0,185.30803571428572,79.37983587338805,ITA,1912,Stockholm,no medal,2,2
12618,Andrew James Baildon,17.0,186.0,78.0,AUS,1988,Seoul,no medal,2,1
12620,Andrew James Baildon,20.0,186.0,78.0,AUS,1992,Barcelona,no medal,2,2
12709,Charles Kennett Baillee,21.0,185.30803571428572,79.37983587338805,GBR,1924,Paris,no medal,1,1
12787,Sri Chand Bajaj,21.505691056910567,185.30803571428572,79.37983587338805,IND,1956,Melbourne,no medal,1,1
12865,Emile Rony Bakale,20.0,188.0,90.0,CGO,2008,Beijing,no medal,3,2
14162,Pablo Rodolfo Barahona,18.0,170.0,66.0,HON,1988,Seoul,no medal,1,1
14243,Istvn Brny,16.0,185.0,79.37983587338805,HUN,1924,Paris,no medal,3,1
14244,Istvn Brny,20.0,185.0,79.37983587338805,HUN,1928,Amsterdam,Silver,3,2
14246,Istvn Brny,24.0,185.0,79.37983587338805,HUN,1932,Los Angeles,no medal,3,3
14524,Walter Edward Bardgett,19.0,185.30803571428572,79.37983587338805,BER,1952,Helsinki,no medal,2,2
14548,Karim Bare,16.0,185.30803571428572,79.37983587338805,NIG,2000,Sydney,no medal,1,1
14815,Romain Barnier,24.0,186.0,84.0,FRA,2000,Sydney,no medal,2,1
14817,Romain Barnier,28.0,186.0,84.0,FRA,2004,Athina,no medal,2,2
15515,Peter Brtschi,24.0,182.0,75.0,SUI,1960,Roma,no medal,1,1
15762,Bruno Bassoul,15.0,178.0,70.0,LIB,1972,Munich,no medal,1,1
16577,Herwig Bayer,17.0,187.0,71.0,AUT,1980,Moskva,no medal,1,1
16953,Lucien Beaumont,21.0,185.30803571428572,79.37983587338805,CAN,1952,Helsinki,no medal,1,1
16969,"Francis Joseph Edmund ""Frank"" De Beaurepaire",16.0,170.0,65.0,ANZ,1908,London,no medal,3,1
17048,Camilo Jos Becerra Velasco,24.0,184.0,75.0,COL,2004,Athina,no medal,3,2
18069,Lszl Beleznai (Brestmayer),19.0,185.30803571428572,79.37983587338805,HUN,1912,Stockholm,no medal,1,1
18789,Juan Benavides Hermosilla,21.0,194.0,90.0,ESP,1996,Atlanta,no medal,2,1
18958,Bouke Benenga,20.0,185.30803571428572,79.37983587338805,NED,1908,London,no medal,1,1
18959,Lambertus Benenga,22.0,185.30803571428572,79.37983587338805,NED,1908,London,no medal,1,1
19416,Richard Sam Bera,16.0,185.0,75.0,INA,1988,Seoul,no medal,3,1
19421,Richard Sam Bera,24.0,185.0,75.0,INA,1996,Atlanta,no medal,3,2
19423,Richard Sam Bera,28.0,185.0,75.0,INA,2000,Sydney,no medal,3,3
20023,Erik Gustaf Bergqvist,20.0,185.30803571428572,79.37983587338805,SWE,1912,Stockholm,no medal,2,1
20239,Alain Andr Louis Edmond Bernard,25.0,196.0,90.0,FRA,2008,Beijing,Gold,2,1
21314,Bruno Bianchi,21.0,183.0,74.0,ITA,1964,Tokyo,no medal,4,4
21449,Mohammad Bidarian,23.0,186.0,87.0,IRI,2012,London,no medal,1,1
21789,Simonas Bilis,22.0,196.0,84.0,LTU,2016,Rio de Janeiro,no medal,1,1
21937,Mohamed Bin Abid,19.0,168.0,67.0,UAE,1988,Seoul,no medal,2,1
21948,Mohamed Bin Abid,23.0,168.0,67.0,UAE,1992,Barcelona,no medal,2,2
22062,Walther Binner,21.0,185.30803571428572,79.37983587338805,GER,1912,Stockholm,no medal,1,1
22068,Beni Bertrand Binobagira,23.0,176.0,69.0,BDI,2012,London,no medal,1,1
22091,"Matthew Nicholas ""Matt"" Biondi",22.0,200.0,95.0,USA,1988,Seoul,Gold,3,2
22098,"Matthew Nicholas ""Matt"" Biondi",26.0,200.0,95.0,USA,1992,Barcelona,no medal,3,3
22472,"Spyridon ""Spyros"" Bitsakis",19.0,200.0,86.0,GRE,2000,Sydney,no medal,2,1
23279,Horst Bleeker,18.0,185.30803571428572,79.37983587338805,GER,1956,Melbourne,no medal,1,1
23345,"Grard Blitz, Jr.",18.0,185.30803571428572,79.37983587338805,BEL,1920,Antwerpen,no medal,4,1
23464,Janne Mikael Blomqvist,20.0,190.0,81.5,FIN,1992,Barcelona,no medal,2,1
23695,"Leslie ""Les"" Boardman",22.0,185.30803571428572,79.37983587338805,ANZ,1912,Stockholm,no medal,1,1
23801,Juan Luis Bocanegra Schall,17.0,185.30803571428572,79.37983587338805,GUA,1996,Atlanta,no medal,1,1
24090,Mihly Richrd Bodor,26.0,195.0,86.0,HUN,1988,Seoul,no medal,1,1
24331,Aram Boghossian,18.0,185.30803571428572,79.37983587338805,BRA,1948,London,no medal,2,1
24333,Aram Boghossian,22.0,185.30803571428572,79.37983587338805,BRA,1952,Helsinki,no medal,2,2
24517,Richrd Bohus,23.0,187.0,81.0,HUN,2016,Rio de Janeiro,no medal,2,2
24545,Victor Charles Gustave Boin,22.0,185.30803571428572,79.37983587338805,BEL,1908,London,no medal,3,1
24827,Darrick Bollinger,17.0,185.30803571428572,79.37983587338805,GUM,1996,Atlanta,no medal,1,1
25759,Claes Arne Borg,22.0,185.30803571428572,79.37983587338805,SWE,1924,Paris,no medal,3,2
25790,Gustavo Frana Borges,19.0,203.0,98.0,BRA,1992,Barcelona,Silver,4,1
25795,Gustavo Frana Borges,23.0,203.0,98.0,BRA,1996,Atlanta,Bronze,4,2
25798,Gustavo Frana Borges,27.0,203.0,98.0,BRA,2000,Sydney,no medal,4,3
26336,Pietro Boscaini,17.0,190.0,84.0,ITA,1964,Tokyo,no medal,2,1
26339,Pietro Boscaini,21.0,190.0,84.0,ITA,1968,Mexico City,no medal,2,2
26551,Javier Botello Garca,21.0,180.0,70.0,ESP,2000,Sydney,no medal,1,1
26668,"Joseph Stuart ""Joe"" Bottom",21.0,194.0,87.0,USA,1976,Montreal,no medal,1,1
26926,Albert Bouguin,21.505691056910567,185.30803571428572,79.37983587338805,FRA,1906,Athina,no medal,1,1
27158,Bruce Bourke,19.0,185.30803571428572,79.37983587338805,AUS,1948,London,no medal,1,1
27165,Charles Clayton Bourne,20.0,185.30803571428572,79.37983587338805,CAN,1924,Paris,no medal,1,1
27171,Frederick Munroe Bourne,17.0,185.30803571428572,79.37983587338805,CAN,1928,Amsterdam,no medal,3,1
27174,Frederick Munroe Bourne,22.0,185.30803571428572,79.37983587338805,CAN,1932,Los Angeles,no medal,3,2
27177,Frederick Munroe Bourne,26.0,185.30803571428572,79.37983587338805,CAN,1936,Berlin,no medal,3,3
27232,"Frdric Thierry Roger ""Frd"" Bousquet",23.0,188.0,86.0,FRA,2004,Athina,no medal,4,2
27374,Jan Bouwman,24.0,196.0,92.0,NED,1960,Roma,no medal,1,1
27406,George Richard Lycott Bovell,17.0,196.0,74.0,TTO,2000,Sydney,no medal,5,1
27409,George Richard Lycott Bovell,21.0,196.0,74.0,TTO,2004,Athina,no medal,5,2
27413,George Richard Lycott Bovell,25.0,196.0,74.0,TTO,2008,Beijing,no medal,5,3
27643,Warren Boyd,21.0,185.30803571428572,79.37983587338805,AUS,1948,London,no medal,1,1
28553,Trent Anthony Bray,22.0,185.30803571428572,79.37983587338805,NZL,1996,Atlanta,no medal,2,2
28972,Kurt Bretting,19.0,185.30803571428572,79.37983587338805,GER,1912,Stockholm,no medal,1,1
29013,Graeme Thomas Brewer,21.0,192.0,96.0,AUS,1980,Moskva,no medal,2,1
29294,Brian Brinkley,18.0,190.0,79.0,GBR,1972,Munich,no medal,2,1
29319,Sion D. Brinn,23.0,187.0,83.0,JAM,1996,Atlanta,no medal,2,1
29824,Neil Brooks,17.0,198.0,96.0,AUS,1980,Moskva,no medal,2,1
29828,Norman Standish Brooks,18.0,185.30803571428572,79.37983587338805,GBR,1928,Amsterdam,no medal,1,1
29923,Rikhardos Brousalis,21.505691056910567,185.30803571428572,79.37983587338805,GRE,1936,Berlin,no medal,2,1
29966,Adam Thorp Brown,23.0,196.0,95.0,GBR,2012,London,no medal,2,2
30359,Yoav Bruck,20.0,193.0,90.0,ISR,1992,Barcelona,no medal,3,1
30361,Yoav Bruck,24.0,193.0,90.0,ISR,1996,Atlanta,no medal,3,2
30364,Yoav Bruck,28.0,193.0,90.0,ISR,2000,Sydney,no medal,3,3
31056,Gustavo Adolfo Bcaro Ortz,17.0,185.30803571428572,79.37983587338805,GUA,1992,Barcelona,no medal,1,1
31102,Nahum David Norbert Buch,19.0,185.30803571428572,79.37983587338805,ISR,1952,Helsinki,no medal,1,1
32008,Alfonso Buonocore,19.0,185.30803571428572,79.37983587338805,ITA,1952,Helsinki,no medal,2,1
32038,Roy-Allan Saul Burch,22.0,185.0,77.0,BER,2008,Beijing,no medal,2,1
32109,Aubrey Martin Brer,21.0,183.0,72.0,RSA,1960,Roma,no medal,1,1
32477,Kevin Robin Burns,20.0,185.30803571428572,79.37983587338805,GBR,1976,Montreal,no medal,1,1
32779,Ricardo J. Busquets Healey,17.0,186.0,82.0,PUR,1992,Barcelona,no medal,4,1
32785,Ricardo J. Busquets Healey,21.0,186.0,82.0,PUR,1996,Atlanta,no medal,4,2
33665,Rafal Cal y Mayor,18.0,169.0,60.0,MEX,1968,Mexico City,no medal,1,1
33944,Ashley John Callus,25.0,188.0,85.0,AUS,2004,Athina,no medal,3,2
34603,Fernando J. Caales,16.0,182.0,80.0,PUR,1976,Montreal,no medal,2,1
34606,Fernando J. Caales,24.0,182.0,80.0,PUR,1984,Los Angeles,no medal,2,2
34880,Augusto Luis Cantn Portugal,19.0,185.30803571428572,79.37983587338805,ARG,1948,London,no medal,1,1
34991,Pano Capronis,17.0,175.0,80.0,SUI,1964,Tokyo,no medal,2,1
34994,Pano Capronis,21.0,175.0,80.0,SUI,1968,Mexico City,no medal,2,2
35096,Todoro Capriles,19.0,179.0,69.0,VEN,1964,Tokyo,no medal,1,1
35869,Stphan Malcolm Caron,18.0,200.0,82.0,FRA,1984,Los Angeles,no medal,3,1
35874,Stphan Malcolm Caron,22.0,200.0,82.0,FRA,1988,Seoul,Bronze,3,2
35879,Stphan Malcolm Caron,26.0,200.0,82.0,FRA,1992,Barcelona,Bronze,3,3
36272,Dylan Carter,20.0,190.0,82.0,TTO,2016,Rio de Janeiro,no medal,1,1
36290,Keith Eyre Carter,23.0,185.30803571428572,79.37983587338805,USA,1948,London,no medal,1,1
36768,Alejandro Castellanos,21.0,185.30803571428572,79.37983587338805,HON,2000,Sydney,no medal,1,1
36772,Plutarco Castellanos Dusavage,17.0,178.0,70.0,HON,1988,Seoul,no medal,2,1
36775,Plutarco Castellanos Dusavage,21.0,178.0,70.0,HON,1992,Barcelona,no medal,2,2
37186,Ren Cavalero,18.0,185.30803571428572,79.37983587338805,FRA,1936,Berlin,no medal,1,1
37263,Milorad avi,20.0,198.0,87.0,SCG,2004,Athina,no medal,4,2
37265,Milorad avi,24.0,198.0,87.0,SRB,2008,Beijing,no medal,4,3
37358,Maxim Cazmirciuc,25.0,185.30803571428572,79.37983587338805,MDA,1996,Atlanta,no medal,1,1
38140,Kyle Chalmers,18.0,193.0,90.0,AUS,2016,Rio de Janeiro,Gold,1,1
38264,Charlie Chan,25.0,185.30803571428572,79.37983587338805,CHN,1936,Berlin,no medal,1,1
38573,Gary Arthur Chapman,19.0,185.30803571428572,79.37983587338805,AUS,1956,Melbourne,Bronze,1,1
38951,"Jung Jun ""Mark"" Chay",18.0,176.0,78.0,SGP,2000,Sydney,no medal,2,1
38953,"Jung Jun ""Mark"" Chay",22.0,176.0,78.0,SGP,2004,Athina,no medal,2,2
39530,Chen Zuo,26.0,186.0,78.0,CHN,2008,Beijing,no medal,2,2
39969,Andrew Chetcuti,19.0,177.0,72.0,MLT,2012,London,no medal,2,1
39970,Andrew Chetcuti,23.0,177.0,72.0,MLT,2016,Rio de Janeiro,no medal,2,2
39995,Cheung Kin Man,20.0,179.0,68.0,HKG,1952,Helsinki,no medal,3,1
39998,Cheung Kin Man,24.0,179.0,68.0,HKG,1956,Melbourne,no medal,3,2
40000,Cheung Kin Man,28.0,179.0,68.0,HKG,1960,Roma,no medal,3,3
40101,Chiang Chi-Li,17.0,182.0,72.0,TPE,1988,Seoul,no medal,1,1
40211,Jos Antonio Chicoy Massa,20.0,170.0,69.0,ESP,1968,Mexico City,no medal,1,1
40241,Marcelo Chierighini,25.0,190.0,86.0,BRA,2016,Rio de Janeiro,no medal,2,2
40541,Domingos Chivavele,18.0,170.0,69.0,MOZ,1984,Los Angeles,no medal,1,1
41205,John Aksel Frederik Christensen,21.0,185.30803571428572,79.37983587338805,DEN,1936,Berlin,no medal,1,1
41334,"Maurice Froomes ""Moss"" Christie",21.0,180.0,79.37983587338805,AUS,1924,Paris,no medal,1,1
41542,Foy Gordon Chung,16.0,185.30803571428572,79.37983587338805,FIJ,1992,Barcelona,no medal,1,1
41588,"David ""Dave"" Churchill",20.0,184.0,74.0,CAN,1984,Los Angeles,no medal,1,1
41639,Jason Chute,16.0,175.0,62.0,FIJ,1988,Seoul,no medal,1,1
41795,Csar Augusto Cielo Filho,21.0,195.0,80.0,BRA,2008,Beijing,Bronze,2,1
41798,Csar Augusto Cielo Filho,25.0,195.0,80.0,BRA,2012,London,no medal,2,2
42417,Stanley Richard Clarke,22.0,183.0,89.0,GBR,1960,Roma,no medal,1,1
42420,Stephen Clarke,19.0,195.0,91.0,CAN,1992,Barcelona,no medal,2,1
42422,Stephen Clarke,22.0,195.0,91.0,CAN,1996,Atlanta,no medal,2,2
42514,Yves Clausse,19.0,192.0,76.0,LUX,1988,Seoul,no medal,2,1
42517,Yves Clausse,23.0,192.0,76.0,LUX,1992,Barcelona,no medal,2,2
42675,"Richard Fitch ""Dick"" Cleveland",22.0,185.30803571428572,79.37983587338805,USA,1952,Helsinki,no medal,1,1
43668,Marco Colombo,23.0,185.0,80.0,ITA,1984,Los Angeles,no medal,1,1
43787,Jorge Comas Lpez,18.0,166.0,75.0,ESP,1972,Munich,no medal,2,1
43790,Jorge Comas Lpez,22.0,166.0,75.0,ESP,1976,Montreal,no medal,2,2
43900,Ren Concepcion,19.0,173.0,66.0,PHI,1988,Seoul,no medal,1,1
43910,Ricardo Conde Rosales,21.0,185.30803571428572,79.37983587338805,ESP,1952,Helsinki,no medal,1,1
43922,Santo Condorelli,21.0,188.0,88.0,CAN,2016,Rio de Janeiro,no medal,1,1
43940,Antonio Conelli,18.0,185.30803571428572,79.37983587338805,ITA,1928,Amsterdam,no medal,1,1
44093,Alberto Conrad Machuca,26.0,185.30803571428572,79.37983587338805,BOL,1936,Berlin,no medal,1,1
44321,Robert James Cook,19.0,185.30803571428572,79.37983587338805,BER,1952,Helsinki,no medal,2,2
44363,Edward J. L. Cooke,21.505691056910567,185.30803571428572,79.37983587338805,ANZ,1908,London,no medal,1,1
45401,Peter Bruce Coughlan,29.0,185.30803571428572,79.37983587338805,AUS,1976,Montreal,no medal,1,1
46243,Ian Lowell Crocker,21.0,193.0,86.0,USA,2004,Athina,no medal,3,2
46252,Mark Anthony Crocker,20.0,187.0,68.0,HKG,1976,Montreal,no medal,2,2
46694,Attila Csszri,18.0,184.0,72.0,HUN,1972,Munich,no medal,1,1
46700,Csaba Csatls,18.0,180.0,80.0,HUN,1968,Mexico City,no medal,1,1
46768,Ferenc Csk (Lengvri-),22.0,185.30803571428572,79.37983587338805,HUN,1936,Berlin,Gold,1,1
47311,Michel Currat,18.0,185.30803571428572,79.37983587338805,SUI,1952,Helsinki,no medal,1,1
47362,Jean-Pascal Curtillet,22.0,184.0,70.0,FRA,1964,Tokyo,no medal,2,2
47511,Krzysztof Cwalina,21.0,186.0,75.0,POL,1992,Barcelona,no medal,1,1
47617,Konrad Czerniak,23.0,193.0,78.0,POL,2012,London,no medal,2,1
47956,Lenidas Francisco Marques da Silva,22.0,185.30803571428572,79.37983587338805,BRA,1936,Berlin,no medal,1,1
48632,Hans Peter Ludvig Dam,22.0,185.30803571428572,79.37983587338805,DEN,1906,Athina,no medal,2,1
48854,Thibaut Amani Danho,22.0,185.0,82.0,CIV,2016,Rio de Janeiro,no medal,1,1
48928,"Charles Meldrum ""Charlie"" Daniels",21.0,183.0,70.0,USA,1906,Athina,Gold,3,2
48930,"Charles Meldrum ""Charlie"" Daniels",23.0,183.0,70.0,USA,1908,London,Gold,3,3
50237,Fernando Nabuco de Abreu,16.0,183.0,79.37983587338805,BRA,1960,Roma,no medal,2,2
50824,Sergio De Gregorio,18.0,178.0,76.0,ITA,1964,Tokyo,no medal,1,1
51597,Athos P. de Oliveira Filho,21.0,186.0,79.37983587338805,BRA,1964,Tokyo,no medal,2,2
52466,Brendon Dedekind,20.0,186.0,90.0,RSA,1996,Atlanta,no medal,2,1
52585,Ernesto Jos Degenhart,18.0,193.0,88.0,GUA,1984,Los Angeles,no medal,1,1
52672,Steffen Deibler,21.0,186.0,81.0,GER,2008,Beijing,no medal,3,1
52739,"Gerardus ""G"" Dekker",19.0,185.30803571428572,79.37983587338805,NED,1924,Paris,no medal,1,1
52940,Michael William Delany,18.0,182.0,84.0,AUS,1984,Los Angeles,no medal,1,1
53126,Cyro Marques Delgado,19.0,182.0,76.0,BRA,1980,Moskva,no medal,2,1
53130,Cyro Marques Delgado,23.0,182.0,76.0,BRA,1984,Los Angeles,no medal,2,2
53137,Felipe Delgado Martillo,23.0,182.0,80.0,ECU,1996,Atlanta,no medal,2,1
53140,Felipe Delgado Martillo,27.0,182.0,80.0,ECU,2000,Sydney,no medal,2,2
53185,"Jorge Delgado Panchana, Jr.",22.0,182.0,64.0,ECU,1976,Montreal,no medal,2,2
53270,Ezio Della Savia,18.0,185.0,92.0,ITA,1960,Roma,no medal,2,1
53971,"John Henry ""Rob"" Derbyshire",27.0,185.30803571428572,79.37983587338805,GBR,1906,Athina,no medal,3,1
53974,"John Henry ""Rob"" Derbyshire",29.0,185.30803571428572,79.37983587338805,GBR,1908,London,no medal,3,2
53976,"John Henry ""Rob"" Derbyshire",33.0,185.30803571428572,79.37983587338805,GBR,1912,Stockholm,no medal,3,3
54339,Claude Desusclade,17.0,185.30803571428572,79.37983587338805,FRA,1936,Berlin,no medal,1,1
54507,John Thomas Devitt,19.0,185.0,85.0,AUS,1956,Melbourne,Silver,2,1
54509,John Thomas Devitt,23.0,185.0,85.0,AUS,1960,Roma,Gold,2,2
54728,Marco di Carli,27.0,189.0,78.0,GER,2012,London,no medal,2,2
55293,Albert Edward Dickin,21.505691056910567,185.30803571428572,79.37983587338805,GBR,1920,Antwerpen,no medal,3,1
55295,Albert Edward Dickin,21.505691056910567,185.30803571428572,79.37983587338805,GBR,1924,Paris,no medal,3,2
55298,John Dickin,21.505691056910567,185.30803571428572,79.37983587338805,GBR,1920,Antwerpen,no medal,1,1
55316,David Gavin Dickson,23.0,179.0,76.0,AUS,1964,Tokyo,no medal,2,2
55874,Achmad Dimyati,21.0,185.30803571428572,79.37983587338805,INA,1960,Roma,no medal,1,1
56030,"Mouhamedou ""Mouhamed"" Diop",24.0,185.30803571428572,79.37983587338805,SEN,1988,Seoul,no medal,2,1
56033,"Mouhamedou ""Mouhamed"" Diop",28.0,185.30803571428572,79.37983587338805,SEN,1992,Barcelona,no medal,2,2
56446,Michele D'Oppido,19.0,188.0,77.0,ITA,1968,Mexico City,no medal,1,1
56510,Gyula Dobay,19.0,183.0,75.0,HUN,1956,Melbourne,no medal,3,1
56512,Gyula Dobay,22.0,183.0,75.0,HUN,1960,Roma,no medal,3,2
56514,Gyula Dobay,26.0,183.0,75.0,HUN,1964,Tokyo,no medal,3,3
56667,George Shannon Dockrell,21.0,185.30803571428572,79.37983587338805,GBR,1908,London,no medal,1,1
57123,Jess Domnguez Garca,22.0,185.30803571428572,79.37983587338805,ESP,1948,London,no medal,1,1
57829,Manuel dos Santos Filho,21.0,184.0,79.37983587338805,BRA,1960,Roma,Bronze,1,1
57912,Luca Dotto,22.0,192.0,80.0,ITA,2012,London,no medal,2,1
57916,Luca Dotto,26.0,192.0,80.0,ITA,2016,Rio de Janeiro,no medal,2,2
58113,Frederick Dove,18.0,185.30803571428572,79.37983587338805,GBR,1936,Berlin,no medal,1,1
58183,Christopher Dowling,16.0,172.0,71.0,MLT,1960,Roma,no medal,1,1
58350,Duje Draganja,17.0,197.0,86.0,CRO,2000,Sydney,no medal,3,1
58354,Duje Draganja,21.0,197.0,86.0,CRO,2004,Athina,no medal,3,2
58358,Duje Draganja,25.0,197.0,86.0,CRO,2008,Beijing,no medal,3,3
58605,Caeleb Remel Dressel,19.0,191.0,86.0,USA,2016,Rio de Janeiro,no medal,1,1
59008,Yul Mark Du Pont,17.0,171.0,76.0,SWZ,1988,Seoul,no medal,1,1
59365,Christopher Judemesa Duenas,16.0,185.0,84.0,GUM,2008,Beijing,no medal,2,1
59366,Christopher Judemesa Duenas,20.0,185.0,84.0,GUM,2012,London,no medal,2,2
59796,Peter John Duncan,21.0,185.30803571428572,79.37983587338805,RSA,1956,Melbourne,no medal,2,2
59854,David Harvey,23.0,194.0,82.0,KEN,2012,London,no medal,2,2
59855,Jason Edward Dunford,21.0,183.0,75.0,KEN,2008,Beijing,no medal,2,1
60069,Andr Duprez,21.505691056910567,185.30803571428572,79.37983587338805,BEL,1908,London,no medal,1,1
60229,Ernesto Durn,16.0,173.0,63.0,ESA,1968,Mexico City,no medal,1,1
60246,John Diederik Durr,21.0,185.30803571428572,79.37983587338805,RSA,1952,Helsinki,no medal,1,1
60573,Serqey Dyakov,22.0,177.0,63.0,AZE,2004,Athina,no medal,1,1
60603,Patrick Stefan Bernard Dybiona,25.0,180.0,74.0,NED,1988,Seoul,no medal,1,1
60892,Paul Robert Easter,21.0,183.0,77.0,GBR,1984,Los Angeles,no medal,1,1
61197,Ren cuyer,19.0,190.0,73.0,FRA,1976,Montreal,no medal,2,1
61198,Ren cuyer,23.0,190.0,73.0,FRA,1980,Moskva,no medal,2,2
61216,Ragi Edde,15.0,185.30803571428572,79.37983587338805,LIB,2000,Sydney,no medal,1,1
61331,Angus Edghill,22.0,180.0,75.0,BAR,1968,Mexico City,no medal,1,1
61534,Charles Wilfred Edwards,18.0,185.30803571428572,79.37983587338805,GBR,1908,London,no medal,1,1
62355,Mohamed El-Azoul,26.0,181.0,80.0,EGY,1992,Barcelona,no medal,2,2
62424,Sofyan El-Gadi,16.0,182.0,80.0,LBA,2008,Beijing,no medal,2,1
62431,Taha Youssef El-Gamal Ali,25.0,185.30803571428572,79.37983587338805,EGY,1948,London,no medal,2,1
62749,Abdel Aziz Fahmi El-Shafei,20.0,185.30803571428572,79.37983587338805,EGY,1952,Helsinki,no medal,2,1
62830,Paul Elaisa,18.0,180.0,89.0,FIJ,2012,London,no medal,1,1
63007,"Frederico ""Freddie"" Elizalde",20.0,168.0,68.0,PHI,1960,Roma,no medal,1,1
63395,Aldo Eminente,20.0,185.30803571428572,79.37983587338805,FRA,1952,Helsinki,no medal,2,1
63397,Aldo Eminente,25.0,185.30803571428572,79.37983587338805,FRA,1956,Melbourne,no medal,2,2
