,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
234113,Elemr Szathmry,22.0,185.30803571428572,79.37983587338805,HUN,1948,London,no medal,1,1
234192,Andrs Szkely,23.0,185.0,79.37983587338805,HUN,1932,Los Angeles,no medal,1,1
234267,Lszl Szentgrthy,20.0,185.30803571428572,79.37983587338805,HUN,1912,Stockholm,no medal,1,1
234275,Istvn Szentirmay,23.0,186.0,80.0,HUN,1972,Munich,no medal,2,2
234364,Zoltn Szilrd,21.505691056910567,185.30803571428572,79.37983587338805,HUN,1948,London,no medal,1,1
234886,Masaharu Taguchi,20.0,185.30803571428572,79.37983587338805,JPN,1936,Berlin,no medal,1,1
234917,Leopoldo Manuel Tahier,21.0,180.0,79.37983587338805,ARG,1932,Los Angeles,no medal,1,1
234922,Murat Tahir,24.0,180.0,72.0,TUR,1988,Seoul,no medal,1,1
235216,Zenjiro Takahashi,20.0,185.30803571428572,79.37983587338805,JPN,1932,Los Angeles,no medal,2,1
235225,Katsuo Takaishi,17.0,185.30803571428572,79.37983587338805,JPN,1924,Paris,no medal,2,1
235228,Katsuo Takaishi,21.0,185.30803571428572,79.37983587338805,JPN,1928,Amsterdam,Bronze,2,2
235903,Tan Thuan Heng,16.0,165.0,63.0,MAS,1964,Tokyo,no medal,1,1
236160,Mehmet Uur Taner,18.0,185.30803571428572,79.37983587338805,TUR,1992,Barcelona,no medal,1,1
236248,Atsushi Tani,23.0,185.30803571428572,79.37983587338805,JPN,1956,Melbourne,no medal,1,1
236581,"Matthew Stephen C. ""Matt"" Targett",22.0,198.0,90.0,AUS,2008,Beijing,no medal,2,1
236651,Paulo Alvaro Tarrto,22.0,185.30803571428572,79.37983587338805,BRA,1936,Berlin,no medal,1,1
236665,"Theodore ""Theo"" Tartakover",27.0,185.30803571428572,79.37983587338805,ANZ,1908,London,no medal,2,1
236668,"Theodore ""Theo"" Tartakover",31.0,185.30803571428572,79.37983587338805,ANZ,1912,Stockholm,no medal,2,2
236936,Ane Tavar,21.0,187.0,79.0,SLO,2016,Rio de Janeiro,no medal,1,1
237000,Kaan Tayla,18.0,187.0,77.0,TUR,2004,Athina,no medal,2,1
237136,Mark Taylor,19.0,182.0,76.0,GBR,1980,Moskva,no medal,1,1
237437,Leo Johannes Telivuo (Dahlstrm-),22.0,185.30803571428572,79.37983587338805,FIN,1952,Helsinki,no medal,1,1
