,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
33924,Nils Hkon Thomas Callerud,18.0,182.0,69.0,SWE,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,no medal,1,1
33948,Alain Calmat,15.0,173.39762611275964,65.59163987138264,FRA,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Men's Singles,no medal,3,1
33949,Alain Calmat,19.0,173.39762611275964,65.59163987138264,FRA,1960,Squaw Valley,Figure Skating,Figure Skating Men's Singles,no medal,3,2
33950,Alain Calmat,23.0,173.39762611275964,65.59163987138264,FRA,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,Silver,3,3
34191,Pasquale Camerlengo,25.0,173.0,68.0,ITA,1992,Albertville,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,1
34192,Pasquale Camerlengo,31.0,173.0,68.0,ITA,1998,Nagano,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,2
34680,Philippe Christophe Luciene Candeloro,21.0,170.0,60.0,FRA,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,Bronze,2,1
34681,Philippe Christophe Luciene Candeloro,25.0,170.0,60.0,FRA,1998,Nagano,Figure Skating,Figure Skating Men's Singles,Bronze,2,2
34784,Malcolm Roger Cannon,19.0,164.0,63.0,GBR,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
34924,Cao Xianming,25.0,170.0,70.71122994652407,CHN,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
35932,Neil B. Carpenter,19.0,177.84100418410043,73.86238532110092,CAN,1964,Innsbruck,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
35982,Stephen Alexander Carr,26.0,167.0,65.0,AUS,1992,Albertville,Figure Skating,Figure Skating Mixed Pairs,no medal,3,1
35983,Stephen Alexander Carr,28.0,167.0,65.0,AUS,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,3,2
35984,Stephen Alexander Carr,28.0,167.0,65.0,AUS,1994,Lillehammer,Figure Skating,Figure Skating Mixed Pairs,no medal,3,2
35985,Stephen Alexander Carr,32.0,167.0,65.0,AUS,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,no medal,3,3
36192,Peter W. Carruthers,20.0,180.0,70.0,USA,1980,Lake Placid,Figure Skating,Figure Skating Mixed Pairs,no medal,2,1
36193,Peter W. Carruthers,24.0,180.0,70.0,USA,1984,Sarajevo,Figure Skating,Figure Skating Mixed Pairs,Silver,2,2
36350,Stefano Caruso,26.0,180.0,70.71122994652407,GER,2014,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
37081,Ercole Cattaneo,29.0,177.84100418410043,73.86238532110092,ITA,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
37446,Walter Cecconi,18.0,178.0829268292683,70.71122994652407,ITA,1976,Innsbruck,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
37884,Lamberto Ceserani,22.0,178.0829268292683,70.71122994652407,ITA,1976,Innsbruck,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
38314,Patrick Lewis Chan,19.0,168.0,67.0,CAN,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,2,1
38315,Patrick Lewis Chan,23.0,168.0,67.0,CAN,2014,Sochi,Figure Skating,Figure Skating Men's Singles,Silver,2,2
38316,Patrick Lewis Chan,23.0,168.0,67.0,CAN,2014,Sochi,Figure Skating,Figure Skating Mixed Team,Silver,2,2
39886,"William Claude ""Bill"" Cherrell",22.0,173.39762611275964,65.59163987138264,AUS,1960,Squaw Valley,Figure Skating,Figure Skating Men's Singles,no medal,1,1
39967,Aleksandr Chestnikh,23.0,176.0,78.0,ARM,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
40437,Gheorghe Chiper,23.0,176.0,72.0,ROU,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,2,1
40438,Gheorghe Chiper,27.0,176.0,72.0,ROU,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,2,2
40440,Vaughn Chipeur,25.0,170.0,64.0,CAN,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,1,1
40617,Cho Jae-Hyung,17.0,169.0,60.0,KOR,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
41182,Christen Christensen,31.0,177.84100418410043,73.86238532110092,NOR,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
41393,Mateusz Chruciski,22.0,178.0,77.0,POL,2010,Vancouver,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
42003,Morgan Cipres,22.0,182.0,73.86238532110092,FRA,2014,Sochi,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
42004,Morgan Cipres,22.0,182.0,73.6,FRA,2014,Sochi,Figure Skating,Figure Skating Mixed Team,no medal,1,1
42121,Tomislav imeija,23.0,173.39762611275964,65.59163987138264,CRO,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,1,1
42372,Herbert James Clarke,44.0,173.39762611275964,65.59163987138264,GBR,1924,Chamonix,Figure Skating,Figure Skating Men's Singles,no medal,1,1
42409,Rodney Clarke,24.88546255506608,178.0829268292683,70.71122994652407,AUS,1988,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
42637,David Wiliam Clements,20.0,173.39762611275964,65.59163987138264,GBR,1960,Squaw Valley,Figure Skating,Figure Skating Men's Singles,no medal,1,1
42711,Leslie Howard Talbot Cliff,27.0,177.84100418410043,73.86238532110092,GBR,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
42998,Per Cock-Clausen,35.0,173.39762611275964,65.59163987138264,DEN,1948,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,2,1
42999,Per Cock-Clausen,39.0,173.39762611275964,65.59163987138264,DEN,1952,Oslo,Figure Skating,Figure Skating Men's Singles,no medal,2,2
43009,Mark Wayne Cockerell,21.0,170.0,63.0,USA,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
44186,Samuel Contesti,26.0,181.0,66.0,ITA,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,1,1
45507,Didier Courtois,20.0,178.0829268292683,70.71122994652407,FRA,1988,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
45525,Robin John Cousins,18.0,183.0,66.0,GBR,1976,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,2,1
45526,Robin John Cousins,22.0,183.0,66.0,GBR,1980,Lake Placid,Figure Skating,Figure Skating Men's Singles,Gold,2,2
45527,Steven Cousins,19.0,182.0,75.0,GBR,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,3,1
45528,Steven Cousins,21.0,182.0,75.0,GBR,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,3,2
45529,Steven Cousins,25.0,182.0,75.0,GBR,1998,Nagano,Figure Skating,Figure Skating Men's Singles,no medal,3,3
45901,Toller Shalitoe Montague Cranston,22.0,172.0,68.0,CAN,1972,Sapporo,Figure Skating,Figure Skating Men's Singles,no medal,2,1
45902,Toller Shalitoe Montague Cranston,26.0,172.0,68.0,CAN,1976,Innsbruck,Figure Skating,Figure Skating Men's Singles,Bronze,2,2
47339,John Anthony Curry,22.0,180.0,67.0,GBR,1972,Sapporo,Figure Skating,Figure Skating Men's Singles,no medal,2,1
47340,John Anthony Curry,26.0,180.0,67.0,GBR,1976,Innsbruck,Figure Skating,Figure Skating Men's Singles,Gold,2,2
47413,Neil Cushley,20.0,185.0,68.0,GBR,1988,Calgary,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
47556,Gyrgy Czak,18.0,173.39762611275964,65.59163987138264,HUN,1952,Oslo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
48519,Richard John Dalley,26.0,175.0,64.0,USA,1984,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
48655,Frdric Dambier,24.0,163.0,56.0,FRA,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,2,1
48656,Frdric Dambier,28.0,163.0,56.0,FRA,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,2,2
49170,Emmerich Danzer,19.0,180.0,70.0,AUT,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,2,1
49171,Emmerich Danzer,23.0,180.0,70.0,AUT,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,no medal,2,2
49917,Scott Davis,22.0,175.0,68.0,USA,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,1,1
49978,Bryce Davison,20.0,183.0,77.0,CAN,2006,Torino,Figure Skating,Figure Skating Mixed Pairs,no medal,2,1
49979,Bryce Davison,24.0,183.0,77.0,CAN,2010,Vancouver,Figure Skating,Figure Skating Mixed Pairs,no medal,2,2
50033,Sergey Dmitryevich Davydov,22.0,159.0,56.0,BLR,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,2,1
50034,Sergey Dmitryevich Davydov,26.0,159.0,56.0,BLR,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,2,2
50056,Robert W. Daw,16.0,177.84100418410043,73.86238532110092,GBR,1980,Lake Placid,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
51676,Ruben De Pr,21.0,180.0,74.0,ITA,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
52230,Christopher Colin Dean,21.0,180.0,73.0,GBR,1980,Lake Placid,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,1
52231,Christopher Colin Dean,25.0,180.0,73.0,GBR,1984,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing,Gold,3,2
52232,Christopher Colin Dean,35.0,180.0,73.0,GBR,1994,Lillehammer,Figure Skating,Figure Skating Mixed Ice Dancing,Bronze,3,3
52479,"Ferdinand ""Ferry"" Dedovich",16.0,169.0,58.0,AUT,1964,Innsbruck,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
53947,Laurent Depouilly,20.0,168.0,62.0,FRA,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
55046,Adrin Daz Bronchud,23.0,172.0,74.0,ESP,2014,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
55479,Wallace William Diestelmeyer,21.0,173.39762611275964,65.59163987138264,CAN,1948,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,1,1
55480,Wallace William Diestelmeyer,21.0,177.84100418410043,73.86238532110092,CAN,1948,Sankt Moritz,Figure Skating,Figure Skating Mixed Pairs,Bronze,1,1
55911,Ivan Bozhidarov Dinev,19.0,174.0,68.0,BUL,1998,Nagano,Figure Skating,Figure Skating Men's Singles,no medal,3,1
55912,Ivan Bozhidarov Dinev,23.0,174.0,68.0,BUL,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,3,2
55913,Ivan Bozhidarov Dinev,27.0,174.0,68.0,BUL,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,3,3
56362,Otto Dlabola,24.0,182.0,84.0,CZE,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,no medal,2,1
56363,Otto Dlabola,28.0,182.0,84.0,CZE,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,no medal,2,2
56410,Artur Valeryevich Dmitriyev,26.0,183.0,82.0,RUS,1994,Lillehammer,Figure Skating,Figure Skating Mixed Pairs,Silver,3,2
56411,Artur Valeryevich Dmitriyev,30.0,183.0,82.0,RUS,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,Gold,3,3
56436,Dmytro Mikhailovich Dmytrenko,24.0,174.0,64.0,UKR,1998,Nagano,Figure Skating,Figure Skating Men's Singles,no medal,2,1
56437,Dmytro Mikhailovich Dmytrenko,28.0,174.0,64.0,UKR,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,2,2
56931,Angelo Dolfini,23.0,161.0,58.0,ITA,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,1,1
57054,Przemysaw Domaski,23.0,182.0,72.0,POL,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,1,1
57490,Heinz Josef Dpfl,21.0,177.84100418410043,73.86238532110092,AUT,1960,Squaw Valley,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
57725,Antoine Dorsaz,20.0,183.0,79.0,SUI,2010,Vancouver,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
57865,Andrzej Dostatni,21.0,187.0,80.0,POL,1988,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
58174,John Stuart Dowding,22.0,178.0829268292683,70.71122994652407,CAN,1980,Lake Placid,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
58602,Lars Gandrup Dresler,20.0,173.39762611275964,65.59163987138264,DEN,1988,Calgary,Figure Skating,Figure Skating Men's Singles,no medal,1,1
58842,Joseph Henry Druar,25.0,170.0,64.0,USA,1988,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
59236,Paul Duchesnay,26.0,175.0,70.0,FRA,1988,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,1
59237,Paul Duchesnay,30.0,175.0,70.0,FRA,1992,Albertville,Figure Skating,Figure Skating Mixed Ice Dancing,Silver,2,2
59601,Philip Raymond Dulebohn,28.0,175.0,75.0,USA,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
59746,Dmytro Oleksiyovych Dun,24.0,183.0,78.0,UKR,2014,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
59747,Dmytro Oleksiyovych Dun,24.0,183.0,78.0,UKR,2014,Sochi,Figure Skating,Figure Skating Mixed Team,no medal,1,1
59859,Jason A. Dungjen,26.0,183.0,77.0,USA,1994,Lillehammer,Figure Skating,Figure Skating Mixed Pairs,no medal,2,1
59860,Jason A. Dungjen,30.0,183.0,77.0,USA,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,no medal,2,2
59917,"John Edward Powell ""Jack"" Dunn",18.0,173.39762611275964,65.59163987138264,GBR,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,1,1
60198,Robert Dureville,20.0,178.0,76.0,FRA,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
60909,"John Coulter ""Jack"" Eastwood",19.0,183.0,65.59163987138264,CAN,1928,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,1,1
60910,"John Coulter ""Jack"" Eastwood",19.0,183.0,73.86238532110092,CAN,1928,Sankt Moritz,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
61010,Jen bert,17.0,173.0,70.0,HUN,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,2,1
61011,Jen bert,21.0,173.0,70.0,HUN,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,no medal,2,2
61718,Jaimee Eggleton,19.0,173.39762611275964,65.59163987138264,CAN,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
62048,Alfred Eisenbeisser,27.0,177.84100418410043,73.86238532110092,ROU,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
62069,"Lloyd Edgar Eisler, Jr.",20.0,180.0,81.0,CAN,1984,Sarajevo,Figure Skating,Figure Skating Mixed Pairs,no medal,4,1
62070,"Lloyd Edgar Eisler, Jr.",24.0,180.0,81.0,CAN,1988,Calgary,Figure Skating,Figure Skating Mixed Pairs,no medal,4,2
62071,"Lloyd Edgar Eisler, Jr.",28.0,180.0,81.0,CAN,1992,Albertville,Figure Skating,Figure Skating Mixed Pairs,Bronze,4,3
62072,"Lloyd Edgar Eisler, Jr.",30.0,180.0,81.0,CAN,1994,Lillehammer,Figure Skating,Figure Skating Mixed Pairs,Bronze,4,4
62874,Todd James Eldredge,20.0,173.0,66.0,USA,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,3,1
62875,Todd James Eldredge,26.0,173.0,66.0,USA,1998,Nagano,Figure Skating,Figure Skating Men's Singles,no medal,3,2
62876,Todd James Eldredge,30.0,173.0,66.0,USA,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,3,3
62885,Attila Elek,23.0,175.0,65.0,HUN,2006,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
63544,Karl Enderlin,24.0,173.39762611275964,65.59163987138264,SUI,1948,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,1,1
65353,Lloyd Hywel Evans,19.0,175.0,64.0,GBR,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
65694,Marco Fabbri,26.0,164.0,70.71122994652407,ITA,2014,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
65695,Marco Fabbri,26.0,164.0,73.6,ITA,2014,Sochi,Figure Skating,Figure Skating Mixed Team,no medal,1,1
66227,Paul Falk,30.0,177.84100418410043,73.86238532110092,GER,1952,Oslo,Figure Skating,Figure Skating Mixed Pairs,Gold,1,1
66780,Michael Farrington,21.0,182.0,79.0,CAN,1988,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
66860,Carlo Fassi,18.0,173.39762611275964,65.59163987138264,ITA,1948,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,2,1
66861,Carlo Fassi,18.0,177.84100418410043,73.86238532110092,ITA,1948,Sankt Moritz,Figure Skating,Figure Skating Mixed Pairs,no medal,2,1
66862,Carlo Fassi,22.0,173.39762611275964,65.59163987138264,ITA,1952,Oslo,Figure Skating,Figure Skating Men's Singles,no medal,2,2
67080,Lenny Faustino,24.0,187.0,90.0,CAN,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
67104,William Benjamin Fauver,21.0,175.0,68.0,USA,1976,Innsbruck,Figure Skating,Figure Skating Mixed Pairs,no medal,2,1
67105,William Benjamin Fauver,29.0,175.0,68.0,USA,1984,Sarajevo,Figure Skating,Figure Skating Mixed Pairs,no medal,2,2
67114,Jacques Favart,27.0,177.84100418410043,73.86238532110092,FRA,1948,Sankt Moritz,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
67194,Gheorghe Fazeka,14.0,170.0,59.0,ROU,1972,Sapporo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
67670,Norbert Felsinger,16.0,173.39762611275964,65.59163987138264,AUT,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Men's Singles,no medal,2,1
67671,Norbert Felsinger,20.0,173.39762611275964,65.59163987138264,AUT,1960,Squaw Valley,Figure Skating,Figure Skating Men's Singles,no medal,2,2
68174,Javier Fernndez Lpez,18.0,171.0,61.0,ESP,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,2,1
68175,Javier Fernndez Lpez,22.0,171.0,61.0,ESP,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,2,2
69337,Grzegorz Filipowski,17.0,172.0,57.0,POL,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,3,1
69338,Grzegorz Filipowski,21.0,172.0,57.0,POL,1988,Calgary,Figure Skating,Figure Skating Men's Singles,no medal,3,2
69339,Grzegorz Filipowski,25.0,172.0,57.0,POL,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,3,3
