,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
53839,Albena Petrova Denkova (-Stavisky),27.0,165.0,52.0,BUL,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,2
53840,Albena Petrova Denkova (-Stavisky),31.0,165.0,52.0,BUL,2006,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,3
53860,Caydee Christine Denney,16.0,152.0,48.0,USA,2010,Vancouver,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
54536,Florence Patricia Devries (-Williams),21.0,161.31335149863762,51.11940298507463,GBR,1952,Oslo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
55651,Sjoukje Rosalinde Dijkstra (-Kossmayer),13.0,169.0,54.0,NED,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,3,1
55652,Sjoukje Rosalinde Dijkstra (-Kossmayer),18.0,169.0,54.0,NED,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,Silver,3,2
55653,Sjoukje Rosalinde Dijkstra (-Kossmayer),21.0,169.0,54.0,NED,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,Gold,3,3
55842,Viktoriya Dimitrova,15.0,161.31335149863762,51.11940298507463,BUL,1992,Albertville,Figure Skating,Figure Skating Women's Singles,no medal,2,1
56237,Joan Dix (-Jones),13.0,161.31335149863762,51.11940298507463,GBR,1932,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,1,1
56704,Patricia Ann Dodd,19.0,161.31335149863762,51.11940298507463,GBR,1968,Grenoble,Figure Skating,Figure Skating Women's Singles,no medal,1,1
57053,Agnieszka Domaska,18.0,160.0,68.0,POL,1994,Lillehammer,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
57168,Oksana Aleksandrovna Domnina,21.0,173.0,56.0,RUS,2006,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,1
57169,Oksana Aleksandrovna Domnina,25.0,173.0,56.0,RUS,2010,Vancouver,Figure Skating,Figure Skating Mixed Ice Dancing,Bronze,2,2
58571,Alisa Drei,19.0,157.0,45.0,FIN,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,1,1
58673,Susanna Driano,18.0,165.0,55.0,ITA,1976,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,2,1
58674,Susanna Driano,22.0,165.0,55.0,ITA,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,2,2
58739,Margarita Drobiazko,20.0,170.0,58.0,LTU,1992,Albertville,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,5,1
58740,Margarita Drobiazko,22.0,170.0,58.0,LTU,1994,Lillehammer,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,5,2
58741,Margarita Drobiazko,26.0,170.0,58.0,LTU,1998,Nagano,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,5,3
58742,Margarita Drobiazko,30.0,170.0,58.0,LTU,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,5,4
58743,Margarita Drobiazko,34.0,170.0,58.0,LTU,2006,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,5,5
58980,Jacqueline du Bief,17.0,161.31335149863762,51.11940298507463,FRA,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,2,1
58981,Jacqueline du Bief,21.0,161.31335149863762,51.11940298507463,FRA,1952,Oslo,Figure Skating,Figure Skating Women's Singles,Bronze,2,2
59062,Sylvaine Duban,18.0,166.0,59.0,FRA,1968,Grenoble,Figure Skating,Figure Skating Women's Singles,no medal,1,1
59086,Jessica Dub,18.0,150.0,52.0,CAN,2006,Torino,Figure Skating,Figure Skating Mixed Pairs,no medal,2,1
59087,Jessica Dub,22.0,150.0,52.0,CAN,2010,Vancouver,Figure Skating,Figure Skating Mixed Pairs,no medal,2,2
59193,Marie-France Dubreuil,27.0,162.0,46.0,CAN,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,1
59194,Marie-France Dubreuil,31.0,162.0,46.0,CAN,2006,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,2
59234,Isabelle Duchesnay (-Dean),24.0,168.0,55.0,FRA,1988,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,1
59235,Isabelle Duchesnay (-Dean),28.0,168.0,55.0,FRA,1992,Albertville,Figure Skating,Figure Skating Mixed Ice Dancing,Silver,2,2
59329,Grayna Dudek,15.0,159.0,50.0,POL,1976,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,1,1
59360,Helga Rosa Maria Dudzinski,22.0,161.31335149863762,51.11940298507463,GER,1952,Oslo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
59529,Meagan Duhamel,28.0,148.0,48.0,CAN,2014,Sochi,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
59530,Meagan Duhamel,28.0,148.0,48.0,CAN,2014,Sochi,Figure Skating,Figure Skating Mixed Team,Silver,1,1
60718,Alise Dzeguze (-Kavia),21.0,161.31335149863762,51.11940298507463,LAT,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Women's Singles,no medal,1,1
60911,"Patricia Anne ""Pat"" Eastwood",12.0,161.31335149863762,51.11940298507463,RSA,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,no medal,1,1
61395,Polina Edmunds,15.0,165.0,43.0,USA,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
61629,Nanna Margrethe Egedius (-Jacobsen),22.0,161.31335149863762,51.11940298507463,NOR,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Women's Singles,no medal,1,1
61947,Hanna Eigel (-Brown),17.0,161.31335149863762,51.11940298507463,AUT,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
63036,"Elisabeth ""Liesel"" Ellend",15.0,156.74261603375527,46.94009216589862,AUT,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
63509,Diana Encinas Evans,19.0,161.31335149863762,51.11940298507463,MEX,1988,Calgary,Figure Skating,Figure Skating Women's Singles,no medal,1,1
63714,Helene Engelmann (-Jaroschka),25.0,156.74261603375527,46.94009216589862,AUT,1924,Chamonix,Figure Skating,Figure Skating Mixed Pairs,Gold,1,1
63750,Klra Engi,16.0,165.0,53.0,HUN,1984,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,1
63751,Klra Engi,20.0,165.0,53.0,HUN,1988,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,2
63752,Klra Engi,24.0,165.0,53.0,HUN,1992,Albertville,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,3
65528,Amanda Evora,25.0,152.0,45.0,USA,2010,Vancouver,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
66019,Federica Faiella,21.0,166.0,55.0,ITA,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,1
66020,Federica Faiella,25.0,166.0,55.0,ITA,2006,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,2
66021,Federica Faiella,29.0,166.0,55.0,ITA,2010,Vancouver,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,3
66228,Ria Falk (Baran-),29.0,156.74261603375527,46.94009216589862,GER,1952,Oslo,Figure Skating,Figure Skating Mixed Pairs,Gold,1,1
66241,"Gun Ann-Charlotte ""Lotta"" Falkenbck (-Bergqvist)",28.0,162.0,50.0,SWE,1988,Calgary,Figure Skating,Figure Skating Women's Singles,no medal,1,1
67113,Denise Favart (Gaudin-),24.0,156.74261603375527,46.94009216589862,FRA,1948,Sankt Moritz,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
69200,Yevheniya Filanenko,15.0,149.0,40.0,UKR,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
69658,Alice Fischer,23.0,161.31335149863762,51.11940298507463,SUI,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
69851,Elizabeth Fisher (-Lawson),19.322222222222223,161.31335149863762,51.11940298507463,CAN,1932,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,1,1
69943,Eva-Maria Fitze,23.0,159.0,48.0,GER,2006,Torino,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
70211,Rachael Elizabeth Flatt,17.0,157.0,50.0,USA,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,1,1
70221,Else Flebbe,19.322222222222223,161.31335149863762,51.11940298507463,GER,1928,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
70288,Peggy Gale Fleming (-Jenkins),15.0,163.0,50.0,USA,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,2,1
70289,Peggy Gale Fleming (-Jenkins),19.0,163.0,50.0,USA,1968,Grenoble,Figure Skating,Figure Skating Women's Singles,Gold,2,2
71029,Silvia Fontana (-Zimmerman),25.0,158.0,55.0,ITA,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,2,1
71030,Silvia Fontana (-Zimmerman),29.0,158.0,55.0,ITA,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,2,2
71178,"Anne Louise ""Anna"" Forder (-McLaughlin)",16.0,158.0,49.0,CAN,1968,Grenoble,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
71616,"Judianne ""Judi"" Fotheringill (-Fuller)",19.0,170.0,57.0,USA,1964,Innsbruck,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
71840,Carol Jean Fox,27.0,162.0,51.0,USA,1984,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
72241,Kerstin Frank,25.0,163.0,55.0,AUT,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
72329,Sheryl Franks,18.0,156.74261603375527,46.94009216589862,USA,1980,Lake Placid,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
72454,Kristin Fraser,21.0,168.0,52.0,AZE,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,1
72455,Kristin Fraser,25.0,168.0,52.0,AZE,2006,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,2
72522,Linda Sue Fratianne,15.0,153.0,41.0,USA,1976,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,2,1
72523,Linda Sue Fratianne,19.0,153.0,41.0,USA,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,Silver,2,2
72825,Ann-Margreth Frei-Kck (-Hall),21.0,155.0,52.0,SWE,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,1,1
73053,Hertha Frey-Dexler,19.0,161.31335149863762,51.11940298507463,SUI,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Women's Singles,no medal,1,1
73388,Karin Frohner (-Gaiser),16.0,161.31335149863762,51.11940298507463,AUT,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,no medal,1,1
73917,Miwa Fukuhara,15.0,156.0,52.0,JPN,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,no medal,2,1
73918,Miwa Fukuhara,19.0,156.0,52.0,JPN,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,2,2
74059,Gina Fulton (-Carter),17.0,160.0,49.0,GBR,1988,Calgary,Figure Skating,Figure Skating Women's Singles,no medal,1,1
74272,Barbara Fusar Poli,26.0,168.0,51.0,ITA,1998,Nagano,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,1
74273,Barbara Fusar Poli,30.0,168.0,51.0,ITA,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,Bronze,3,2
74274,Barbara Fusar Poli,34.0,168.0,51.0,ITA,2006,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,3
75217,Anna Galmarini,17.0,161.31335149863762,51.11940298507463,ITA,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,no medal,1,1
76488,Audrey Jean Garland (-Wray),23.0,156.74261603375527,46.94009216589862,CAN,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
76490,"Susan Jane ""Susy"" Garland",13.0,155.0,50.0,GBR,1980,Lake Placid,Figure Skating,Figure Skating Mixed Pairs,no medal,2,1
76491,"Susan Jane ""Susy"" Garland",17.0,155.0,50.0,GBR,1984,Sarajevo,Figure Skating,Figure Skating Mixed Pairs,no medal,2,2
76526,Karyn Garossino,22.0,157.0,48.0,CAN,1988,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
77096,Petya Gavazova,19.0,161.31335149863762,51.11940298507463,BUL,1988,Calgary,Figure Skating,Figure Skating Women's Singles,no medal,1,1
77462,Elene Gedevanishvili,16.0,160.0,41.0,GEO,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,3,1
77463,Elene Gedevanishvili,20.0,160.0,41.0,GEO,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,3,2
77464,Elene Gedevanishvili,24.0,160.0,41.0,GEO,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,3,3
77683,Beatrice Gelmini,21.0,161.31335149863762,51.11940298507463,ITA,1988,Calgary,Figure Skating,Figure Skating Women's Singles,no medal,1,1
77794,Judi Ann Genovesi (-Alder),18.0,163.0,52.0,USA,1976,Innsbruck,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
78224,Diane Gerencser,26.0,165.0,47.0,ITA,1998,Nagano,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
78303,"Janet Jean Gerhauser (-Griffiths, -Carpenter)",19.0,156.74261603375527,46.94009216589862,USA,1952,Oslo,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
79151,"Susanne ""Susi"" Giebisch",18.0,156.74261603375527,46.94009216589862,AUT,1948,Sankt Moritz,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
79567,Anastasiya Gimazetdinova,25.0,180.0,56.0,UZB,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,2,1
79568,Anastasiya Gimazetdinova,29.0,180.0,56.0,UZB,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,2,2
80040,Vanessa Giunchi,21.0,157.0,54.0,ITA,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,1,1
80105,Anne Line Gjersem,20.0,158.0,51.11940298507463,NOR,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
80198,Anuschka Glser (-Tandogan),24.0,158.0,48.0,GER,1994,Lillehammer,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
80284,Jelena Glebova,16.0,165.0,49.0,EST,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,3,1
80285,Jelena Glebova,20.0,165.0,49.0,EST,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,3,2
80286,Jelena Glebova,24.0,165.0,49.0,EST,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,3,3
80591,Margret Gbl (-Ningel),21.0,156.74261603375527,46.94009216589862,GER,1960,Squaw Valley,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
80942,"Grace Elizabeth ""Gracie"" Gold",18.0,165.0,54.0,USA,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
80943,"Grace Elizabeth ""Gracie"" Gold",18.0,165.0,54.0,USA,2014,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze,1,1
81438,Yvonne Gmez Muoz,21.0,157.0,46.0,ESP,1988,Calgary,Figure Skating,Figure Skating Women's Singles,no medal,1,1
82169,Jennifer Goolsbee,25.0,152.0,48.0,GER,1994,Lillehammer,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
82268,"Yekaterina Aleksandrovna ""Katya"" Gordeyeva (-Grinkova, -Kulik)",22.0,156.74261603375527,46.94009216589862,RUS,1994,Lillehammer,Figure Skating,Figure Skating Mixed Pairs,Gold,2,2
82437,Honorata Grna,19.0,166.0,53.0,POL,1988,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
82604,Agns Gosselin (-Tavernier),16.0,160.0,50.0,FRA,1984,Sarajevo,Figure Skating,Figure Skating Women's Singles,no medal,2,1
82605,Agns Gosselin (-Tavernier),20.0,160.0,50.0,FRA,1988,Calgary,Figure Skating,Figure Skating Women's Singles,no medal,2,2
83397,Silvia Odette Grandjean (-Guyonneau),17.0,156.74261603375527,46.94009216589862,SUI,1952,Oslo,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
83747,Anastasia Grebenkina,27.0,168.0,53.0,ARM,2006,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
83884,Hilary Green,24.0,163.91747572815535,51.01052631578948,GBR,1976,Innsbruck,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
84113,Melissa Gregory,24.0,165.0,49.0,USA,2006,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
84578,Yelena Anatolyevna Grigoryeva,19.0,159.0,48.0,BLR,1994,Lillehammer,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
84721,Wendy Elizabeth Griner (-Ballantyne),15.0,156.0,56.0,CAN,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,no medal,2,1
84722,Wendy Elizabeth Griner (-Ballantyne),19.0,156.0,56.0,CAN,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,2,2
84777,"Oksana Vladimirovna ""Pasha"" Grishchuk",22.0,164.0,50.0,RUS,1994,Lillehammer,Figure Skating,Figure Skating Mixed Ice Dancing,Gold,3,2
84778,"Oksana Vladimirovna ""Pasha"" Grishchuk",26.0,164.0,50.0,RUS,1998,Nagano,Figure Skating,Figure Skating Mixed Ice Dancing,Gold,3,3
85447,Birgitta Helena Grundberg (-Chilly),25.0,166.0,57.0,SWE,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,1,1
85820,Natalia Gudina,24.0,160.0,51.01052631578948,ISR,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
86199,Charlene Edith Magali Guignard,24.0,158.0,51.01052631578948,ITA,2014,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
86200,Charlene Edith Magali Guignard,24.0,158.0,49.333333333333336,ITA,2014,Sochi,Figure Skating,Figure Skating Mixed Team,no medal,1,1
86881,Vanessa Gusmeroli,19.0,160.0,49.0,FRA,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,2,1
86882,Vanessa Gusmeroli,23.0,160.0,49.0,FRA,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,2,2
87390,Gwak Min-Jeong,16.0,159.0,41.0,KOR,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,1,1
87681,Joan Haanappel,15.0,160.0,53.0,NED,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,2,1
87682,Joan Haanappel,19.0,160.0,53.0,NED,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,no medal,2,2
87962,Lyne Haddad,13.0,148.0,35.0,FRA,1992,Albertville,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
88004,Ila Ray Hadley,17.0,156.74261603375527,46.94009216589862,USA,1960,Squaw Valley,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
88362,Christine Haigler (-Krall),16.0,162.0,52.0,USA,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,1,1
88446,Kamila Hjkov,22.0,170.0,56.0,CZE,2010,Vancouver,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
89304,"Dorothy Stuart Hamill (-Martin, -Forsythe)",19.0,160.0,55.0,USA,1976,Innsbruck,Figure Skating,Figure Skating Women's Singles,Gold,1,1
89604,Han Bing,22.0,163.91747572815535,51.01052631578948,CHN,1992,Albertville,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
89605,Brooklee Han,18.0,150.0,42.0,AUS,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
89868,Beata Handra,25.0,160.0,52.0,USA,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
89879,"Susanne ""Susi"" Handschmann",16.0,160.0,47.0,AUT,1976,Innsbruck,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,1
89880,"Susanne ""Susi"" Handschmann",20.0,160.0,47.0,AUT,1980,Lake Placid,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,2
90775,"Tonya Maxine Harding (-Gillooly, -Smith, -Price)",21.0,155.0,48.0,USA,1992,Albertville,Figure Skating,Figure Skating Women's Singles,no medal,2,1
90776,"Tonya Maxine Harding (-Gillooly, -Smith, -Price)",23.0,155.0,48.0,USA,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,no medal,2,2
91809,Nicole Hassler,18.0,157.0,47.0,FRA,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,no medal,2,1
91810,Nicole Hassler,22.0,157.0,47.0,FRA,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,2,2
