,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
125073,Carolina Kostner,23.0,169.0,60.0,ITA,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,3,2
125074,Carolina Kostner,26.0,169.0,60.0,ITA,2014,Sochi,Figure Skating,Figure Skating Women's Singles,Bronze,3,3
126251,Erika Kraft,20.0,161.31335149863762,51.11940298507463,GER,1952,Oslo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
126543,Carolyn Patricia Krau,16.0,137.0,36.0,GBR,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,no medal,2,2
127003,Nathalie Krieg (-Villard),16.0,161.31335149863762,51.11940298507463,SUI,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,no medal,1,1
127208,Claudia Kristofics-Binder,14.0,170.0,50.0,AUT,1976,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,2,1
127209,Claudia Kristofics-Binder,18.0,170.0,50.0,AUT,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,2,2
128136,Grete Kubitschek,19.322222222222223,161.31335149863762,51.11940298507463,AUT,1928,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
128859,Lenka Kulovan,19.0,171.0,55.0,CZE,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,no medal,3,2
128860,Lenka Kulovan,23.0,171.0,55.0,CZE,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,3,3
130080,Michelle Wingshan Kwan (-Pell),17.0,157.0,49.0,USA,1998,Nagano,Figure Skating,Figure Skating Women's Singles,Silver,2,1
130081,Michelle Wingshan Kwan (-Pell),21.0,157.0,49.0,USA,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,Bronze,2,2
130796,Sonia Lafuente Martnez,18.0,162.0,50.0,ESP,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,1,1
131127,"Margareta ""Grete"" Lainer",21.0,161.31335149863762,51.11940298507463,AUT,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Women's Singles,no medal,1,1
131724,"Elisabeth Charlotte Valrie Maria Luise Margarete ""Liselotte"" Landbeck (-Verdun- -Eykens)",20.0,161.31335149863762,51.11940298507463,BEL,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Women's Singles,no medal,1,1
133445,Julia Lautowa,16.0,164.0,51.0,AUT,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,1,1
133595,Yuliya Lavrenchuk,19.0,167.0,54.0,UKR,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,1,1
134339,Yulia Lebedeva,23.0,165.0,51.11940298507463,ARM,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,1,1
134772,Cheltzie Lee,16.0,154.0,50.0,AUS,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,1,1
134866,Lee Eun-Hee,16.0,161.31335149863762,51.11940298507463,KOR,1992,Albertville,Figure Skating,Figure Skating Women's Singles,no medal,1,1
135038,Lee Hyeon-Ju,14.0,143.0,34.0,KOR,1968,Grenoble,Figure Skating,Figure Skating Women's Singles,no medal,1,1
135259,"Lyoon-Jung ""Lily"" Lee",24.0,162.0,59.0,KOR,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,no medal,1,1
135307,Pauline Chen Lee,19.0,161.31335149863762,51.11940298507463,TPE,1988,Calgary,Figure Skating,Figure Skating Women's Singles,no medal,1,1
