,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
131972,"Jeffrey ""Jeff"" Langdon",22.0,175.0,66.0,CAN,1998,Nagano,Figure Skating,Figure Skating Men's Singles,no medal,1,1
134936,Lee Gwang-Yeong,21.0,168.0,65.0,KOR,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,no medal,1,1
135248,Lee Kyu-Hyun,17.0,180.0,70.0,KOR,1998,Nagano,Figure Skating,Figure Skating Men's Singles,no medal,2,1
135249,Lee Kyu-Hyun,21.0,180.0,70.0,KOR,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,2,2
135316,Robin Huntington Lee,16.0,173.39762611275964,65.59163987138264,USA,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,1,1
135616,Fernand Leemans,22.0,173.39762611275964,65.59163987138264,BEL,1948,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,1,1
137202,Juha Pekka Leskinen,21.0,183.0,68.0,FIN,1976,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
137346,John A. Lettengarver,18.0,173.39762611275964,65.59163987138264,USA,1948,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,1,1
137920,Li Chengjiang,22.0,170.0,61.0,CHN,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,2,1
137921,Li Chengjiang,26.0,170.0,61.0,CHN,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,2,2
138341,Li Su-Min,17.0,173.39762611275964,65.59163987138264,PRK,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,1,1
138532,Li Yunfei,22.0,172.0,66.0,CHN,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,1,1
138816,Peter Liebers,25.0,170.0,65.59163987138264,GER,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,1,1
139645,Stefan Lindemann,25.0,162.0,60.0,GER,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,2,1
139646,Stefan Lindemann,29.0,162.0,60.0,GER,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,2,2
140067,Leopold Linhart,21.0,173.39762611275964,65.59163987138264,AUT,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,1,1
140517,Yury Gennadyevich Litvinov,19.0,170.0,62.0,KAZ,1998,Nagano,Figure Skating,Figure Skating Men's Singles,no medal,1,1
140520,Thomas Jeffrey Litz,18.0,174.0,64.0,USA,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
140524,"Yueming ""Anthony"" Liu",23.0,168.0,60.0,AUS,1998,Nagano,Figure Skating,Figure Skating Men's Singles,no medal,2,1
140525,"Yueming ""Anthony"" Liu",27.0,168.0,60.0,AUS,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,2,2
140546,David Liu,22.0,168.0,56.0,TPE,1988,Calgary,Figure Skating,Figure Skating Men's Singles,no medal,3,1
140547,David Liu,26.0,168.0,56.0,TPE,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,3,2
140548,David Liu,32.0,168.0,56.0,TPE,1998,Nagano,Figure Skating,Figure Skating Men's Singles,no medal,3,3
142563,Gnther Lorenz,20.0,173.39762611275964,65.59163987138264,GER,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,1,1
144806,Evan Frank Lysacek,20.0,188.0,73.0,USA,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,2,1
144807,Evan Frank Lysacek,24.0,188.0,73.0,USA,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,Gold,2,2
145366,Tatsuki Machida,23.0,162.0,65.59163987138264,JPN,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,1,1
145819,James Lester Madden,22.0,173.39762611275964,65.59163987138264,USA,1932,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,2,1
147007,Alexandre Majorov,22.0,167.0,68.0,SWE,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,1,1
147640,Andr Malinet,21.983436853002072,173.39762611275964,65.59163987138264,FRA,1924,Chamonix,Figure Skating,Figure Skating Men's Singles,no medal,1,1
151061,Michael Christian Martinez,17.0,172.0,65.59163987138264,PHI,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,1,1
152627,Mitsuru Matsumura,18.0,167.0,59.0,JPN,1976,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,2,1
152628,Mitsuru Matsumura,22.0,167.0,59.0,JPN,1980,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,2,2
153283,"Hellmuth Rolf Richard Johannes ""Hellmut"" May",14.0,173.39762611275964,65.59163987138264,AUT,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,2,1
153284,"Hellmuth Rolf Richard Johannes ""Hellmut"" May",26.0,173.39762611275964,65.59163987138264,AUT,1948,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,2,2
154466,David Lachlan McGillivray,18.0,167.0,58.0,CAN,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,no medal,1,1
